r	m	b	parts	deficiency	bipartite	cross_lower	cross_upper	tk_obstruction	split	status
27	713	3	49,1	23	0	72	1250	0	4153	survives
27	713	3	48,1,1	46	0	72	1154	0	4700	survives
27	713	3	27,23	23	17102	72	106	0	17102	bipartite
27	713	3	26,23,1	46	17222	72	54	0	6085	bipartite
27	713	3	25,25	0	17280	72	98	0	17280	bipartite
27	713	3	25,24,1	23	17280	72	50	0	6085	bipartite
27	713	3	24,24,1,1	46	17280	72	2	0	6085	bipartite
27	713	4	47,1,1	44	0	92	1132	0	4261	survives
27	713	4	25,23,1	22	15897	92	76	0	6085	bipartite
27	713	4	24,23,1,1	44	15897	92	28	0	6085	bipartite
27	713	5	23,23,1,1	42	14572	110	52	0	6085	bipartite
27	713	24	7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	44	1783	72	32	0	6085	cross_edges
27	713	24	6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	1783	72	20	0	6085	cross_edges
27	713	24	5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	42	1783	72	16	0	6085	cross_edges
27	713	24	5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	1783	72	12	0	6085	cross_edges
27	713	24	5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	1783	72	10	0	6085	cross_edges
27	713	24	4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	44	1783	72	8	0	6085	cross_edges
27	713	24	4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	1783	72	4	0	6085	cross_edges
27	713	24	3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	40	1783	72	8	0	6085	cross_edges
27	713	24	3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	44	1783	72	4	0	6085	cross_edges
27	713	24	3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	1783	72	2	0	6085	cross_edges
27	713	24	3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	1783	72	0	0	6085	cross_edges
27	713	25	5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	23	1528	50	40	0	6085	cross_edges
27	713	25	4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	24	1528	50	32	0	6085	cross_edges
27	713	25	3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	22	1528	50	32	0	6085	cross_edges
27	713	25	3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	23	1528	50	28	0	6085	cross_edges
27	713	25	3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	25	1528	50	26	0	6085	cross_edges
27	713	25	2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	24	1528	50	24	0	6085	cross_edges
27	713	25	2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	26	1528	50	22	1	6085	cross_edges
27	713	25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	28	1528	50	20	1	6085	cross_edges
27	713	26	3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0	1310	26	54	0	6586	split
27	713	26	2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0	1310	26	50	1	7364	topological_Kr
27	713	26	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0	1310	26	48	1	8197	topological_Kr
27	713	27	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0	1123	26	74	0	7036	split
28	768	3	51,1	24	0	75	1353	0	4875	survives
28	768	3	50,1,1	48	0	75	1253	0	5493	survives
28	768	3	29,23	46	19835	75	121	0	19835	bipartite
28	768	3	27,25	0	20280	75	105	0	20280	bipartite
28	768	3	27,24,1	48	20280	75	57	0	7099	bipartite
28	768	3	26,25,1	24	20280	75	53	0	7099	bipartite
28	768	3	25,25,2	46	20280	75	5	0	7099	bipartite
28	768	3	25,25,1,1	48	20280	75	3	0	7099	bipartite
28	768	4	49,1,1	46	0	96	1230	0	5002	survives
28	768	4	27,23,1	46	18657	96	86	0	7099	bipartite
28	768	4	25,25,1	23	18720	96	78	0	7099	bipartite
28	768	4	25,24,1,1	46	18720	96	30	0	7099	bipartite
28	768	5	25,23,1,1	44	17280	115	57	0	7099	bipartite
28	768	25	7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	2058	75	33	0	7099	cross_edges
28	768	25	6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	2058	75	21	0	7099	cross_edges
28	768	25	5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	44	2058	75	17	0	7099	cross_edges
28	768	25	5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	2058	75	13	0	7099	cross_edges
28	768	25	5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	50	2058	75	11	0	7099	cross_edges
28	768	25	4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	2058	75	9	0	7099	cross_edges
28	768	25	4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	50	2058	75	5	0	7099	cross_edges
28	768	25	3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	42	2058	75	9	0	7099	cross_edges
28	768	25	3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	2058	75	5	0	7099	cross_edges
28	768	25	3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	2058	75	3	0	7099	cross_edges
28	768	25	3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	50	2058	75	1	0	7099	cross_edges
28	768	26	5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	24	1783	52	42	0	7099	cross_edges
28	768	26	4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	25	1783	52	34	0	7099	cross_edges
28	768	26	3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	23	1783	52	34	0	7099	cross_edges
28	768	26	3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	24	1783	52	30	0	7099	cross_edges
28	768	26	3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	26	1783	52	28	0	7099	cross_edges
28	768	26	2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	25	1783	52	26	0	7099	cross_edges
28	768	26	2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	27	1783	52	24	1	7099	cross_edges
28	768	26	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	29	1783	52	22	1	7099	cross_edges
28	768	27	3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0	1528	27	57	0	7767	split
28	768	27	2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0	1528	27	53	1	8644	topological_Kr
28	768	27	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0	1528	27	51	1	9579	topological_Kr
28	768	28	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0	1310	27	78	0	8268	split
28	769	3	51,1	24	0	75	1355	0	4851	survives
28	769	3	50,1,1	48	0	75	1255	0	5467	survives
28	769	3	29,23	46	19835	75	123	0	19835	bipartite
28	769	3	27,25	0	20280	75	107	0	20280	bipartite
28	769	3	27,24,1	48	20280	75	59	0	7099	bipartite
28	769	3	26,25,1	24	20280	75	55	0	7099	bipartite
28	769	3	25,25,2	46	20280	75	7	0	7099	bipartite
28	769	3	25,25,1,1	48	20280	75	5	0	7099	bipartite
28	769	4	49,1,1	46	0	96	1232	0	4977	survives
28	769	4	27,23,1	46	18657	96	88	0	7099	bipartite
28	769	4	25,25,1	23	18720	96	80	0	7099	bipartite
28	769	4	25,24,1,1	46	18720	96	32	0	7099	bipartite
28	769	5	25,23,1,1	44	17280	115	59	0	7099	bipartite
28	769	25	7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	2058	75	35	0	7099	cross_edges
28	769	25	6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	2058	75	23	0	7099	cross_edges
28	769	25	5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	44	2058	75	19	0	7099	cross_edges
28	769	25	5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	2058	75	15	0	7099	cross_edges
28	769	25	5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	50	2058	75	13	0	7099	cross_edges
28	769	25	4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	2058	75	11	0	7099	cross_edges
28	769	25	4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	50	2058	75	7	0	7099	cross_edges
28	769	25	4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	52	2058	75	5	0	7099	cross_edges
28	769	25	3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	42	2058	75	11	0	7099	cross_edges
28	769	25	3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	46	2058	75	7	0	7099	cross_edges
28	769	25	3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48	2058	75	5	0	7099	cross_edges
28	769	25	3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	50	2058	75	3	0	7099	cross_edges
28	769	25	3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	52	2058	75	1	0	7099	cross_edges
28	769	26	5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	24	1783	52	44	0	7099	cross_edges
28	769	26	4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	25	1783	52	36	0	7099	cross_edges
28	769	26	3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	23	1783	52	36	0	7099	cross_edges
28	769	26	3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	24	1783	52	32	0	7099	cross_edges
28	769	26	3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	26	1783	52	30	0	7099	cross_edges
28	769	26	2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	25	1783	52	28	0	7099	cross_edges
28	769	26	2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	27	1783	52	26	1	7099	cross_edges
28	769	26	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	29	1783	52	24	1	7099	cross_edges
