r	n	edge_floor	sample_order	rational_bound	ceil_bound	status
27	32	471	12	5683855/891	6380	closed
27	33	492	12	182900/27	6775	closed
27	34	512	12	573872/81	7085	closed
27	35	531	13	856280/117	7319	closed
27	36	549	13	98260/13	7559	closed
27	37	566	13	3302131/429	7698	closed
27	38	582	14	1117970/143	7818	closed
27	39	597	14	7881	7881	closed
27	40	611	15	426721/54	7903	closed
27	41	624	15	212914/27	7886	closed
27	42	636	16	164573/21	7837	closed
27	43	647	16	6337739/819	7739	closed
27	44	657	17	1558369/204	7640	closed
27	45	666	18	4581521/612	7487	closed
27	46	674	18	6720857/918	7322	closed
27	47	681	19	20759255/2907	7142	closed
27	48	687	20	2238843/323	6932	closed
27	49	692	21	51568024/7695	6702	closed
27	50	696	21	9949900/1539	6466	closed
27	51	699	22	3900596/627	6222	closed
27	52	701	23	9053905/1518	5965	recursive_or_join
27	53	713	24	287014400/47817	6003	recursive_or_join
27	54	726	24	977041/161	6069	recursive_or_join
27	55	739	25	15530749/2530	6139	closed
27	56	752	25	7848611/1265	6205	closed
27	57	765	26	37536543/5980	6278	closed
27	58	778	26	412258/65	6343	closed
27	59	791	27	101359832/15795	6418	closed
27	60	804	27	68258431/10530	6483	closed
27	61	817	28	34533113/5265	6559	closed
27	62	830	28	34874074/5265	6624	closed
27	63	843	29	261385/39	6703	closed
27	64	856	30	19189868/2835	6769	closed
27	65	869	30	1109149/162	6847	closed
27	66	882	31	6216784/899	6916	closed
27	67	895	31	396012448/56637	6993	closed
27	68	908	32	76189685/10788	7063	closed
27	69	921	32	25670447/3596	7139	closed
27	70	934	33	531096337/73656	7211	closed
27	71	947	33	536656493/73656	7286	closed
27	72	960	34	42661780/5797	7360	closed
27	73	973	34	2068596005/278256	7435	closed
27	74	986	35	28082701/3740	7509	closed
27	75	999	35	1418025/187	7584	closed
27	76	1012	36	116007950/15147	7659	closed
27	77	1025	36	117124795/15147	7733	closed
27	78	1038	37	309463925/39627	7810	closed
27	79	1051	37	133870979/16983	7883	closed
27	80	1064	38	16788772/2109	7961	closed
27	81	1077	38	79063595/9842	8034	closed
27	82	1090	39	667229260/82251	8113	closed
27	83	1103	39	224392040/27417	8185	closed
27	84	1116	40	10206171/1235	8265	closed
27	85	1129	41	12354467/1482	8337	closed
27	86	1142	41	511402591/60762	8417	closed
27	87	1155	42	81450145/9594	8490	closed
27	88	1168	42	123319700/14391	8570	closed
27	89	1181	43	63787849/7380	8644	closed
27	90	1194	43	15377395/1763	8723	closed
27	91	1207	44	325700840/37023	8798	closed
27	92	1220	44	1204879330/135751	8876	closed
27	93	1233	45	38106224/4257	8952	closed
27	94	1246	45	1729699153/191565	9030	closed
27	95	1259	46	116290579/12771	9106	closed
27	96	1272	46	899138012/97911	9184	closed
28	33	503	12	198245/27	7343	closed
28	34	525	12	631904/81	7802	closed
28	35	546	12	662032/81	8174	closed
28	36	566	12	75956/9	8440	closed
28	37	585	13	3743026/429	8726	closed
28	38	603	13	3827117/429	8922	closed
28	39	620	14	99456/11	9042	closed
28	40	636	14	302290/33	9161	closed
28	41	651	15	495083/54	9169	closed
28	42	665	15	82852/9	9206	closed
28	43	678	16	7481639/819	9136	closed
28	44	690	16	10634047/1170	9089	closed
28	45	701	17	609439/68	8963	closed
28	46	711	17	4203551/476	8831	closed
28	47	720	18	3976808/459	8665	closed
28	48	728	19	8190070/969	8453	closed
28	49	735	19	575614123/69768	8251	closed
28	50	741	20	7768160/969	8017	closed
28	51	746	21	3979780/513	7758	closed
28	52	750	22	14074025/1881	7483	closed
28	53	753	22	27112025/3762	7207	closed
28	54	755	23	61274018/8855	6920	recursive_or_join
28	55	768	24	37085425/5313	6981	recursive_or_join
28	56	781	24	3399685/483	7039	recursive_or_join
28	57	795	25	820194/115	7133	closed
28	58	808	25	7443667/1035	7192	closed
28	59	822	26	163401938/22425	7287	closed
28	60	835	26	43938393/5980	7348	closed
28	61	849	27	470263217/63180	7444	closed
28	62	862	27	47417887/6318	7506	closed
28	63	876	28	4447022/585	7602	closed
28	64	889	28	67257197/8775	7665	closed
28	65	903	29	100905/13	7762	closed
28	66	916	29	305200/39	7826	closed
28	67	930	30	13477984/1701	7924	closed
28	68	943	30	27175291/3402	7989	closed
28	69	957	31	52643173/6510	8087	closed
28	70	970	31	461685677/56637	8152	closed
28	71	984	32	89007631/10788	8251	closed
28	72	997	32	14952875/1798	8317	closed
28	73	1011	33	103311887/12276	8416	closed
28	74	1024	33	520632137/61380	8483	closed
28	75	1038	34	99497905/11594	8582	closed
28	76	1051	34	7219678465/834768	8649	closed
28	77	1065	35	78528985/8976	8749	closed
28	78	1078	35	1198995/136	8817	closed
28	79	1092	36	61389874/6885	8917	closed
28	80	1105	36	727727/81	8985	closed
28	81	1119	37	40000623/4403	9085	closed
28	82	1132	37	40301060/4403	9154	closed
28	83	1146	38	45538344/4921	9254	closed
28	84	1159	38	458760357/49210	9323	closed
28	85	1173	39	13951636415/1480518	9424	closed
28	86	1186	39	7026884165/740259	9493	closed
28	87	1200	40	263028199/27417	9594	closed
28	88	1213	40	794786329/82251	9663	closed
28	89	1227	41	1483236668/151905	9765	closed
28	90	1240	41	99587653/10127	9834	closed
28	91	1254	42	47659678/4797	9936	closed
28	92	1267	42	191980565/19188	10006	closed
28	93	1281	43	71273111/7052	10107	closed
28	94	1294	43	1614785081/158670	10178	closed
28	95	1308	44	4186015870/407253	10279	closed
28	96	1321	44	1404904965/135751	10350	closed
28	97	1335	45	2802833203/268191	10451	closed
28	98	1348	45	2821798376/268191	10522	closed
28	99	1362	46	1733585552/163185	10624	closed
