n	m_floor	edge_support	affine_endpoint_support	sample_support	hull_support	exact_direct_bound	ceiling	status
33	502	Gallai	s11:L=PRTT-7/3+BK-37/9,R=BK-37/9+BK-5	11	s11[45,54]	401605/54	7438	closed_directly
34	524	Gallai	s11:L=PRTT-7/3+BK-37/9,R=BK-37/9+BK-5	11	s11[45,54]	639716/81	7898	closed_directly
35	545	Gallai	s11:L=PRTT-7/3+BK-37/9,R=BK-37/9+BK-5	11	s11[45,54]	223240/27	8269	closed_directly
36	565	Gallai	s11:L=PRTT-7/3+BK-37/9,R=BK-37/9+BK-5	11	s11[45,54]	921145/108	8530	closed_directly
37	584	Gallai	s12:L=BK-37/9,R=BK-37/9+BK-5	12	s12[56,60]	871318/99	8802	closed_directly
38	602	Gallai	s12:L=BK-37/9,R=BK-37/9+BK-5	12	s12[56,60]	98749/11	8978	closed_directly
39	619	Gallai	s12:L=PRTT-7/3+BK-37/9,R=BK-37/9	12	s12[50,56]	99678/11	9062	closed_directly
40	635	Gallai	s14:L=BK-37/9+BK-5,R=BK-5	14	s14[72,91]	4235575/462	9168	closed_directly
41	650	Gallai	s13:L=BK-37/9,R=BK-37/9+BK-5	13	s13[58,66]	403807/44	9178	closed_directly
42	664	Gallai	s14:L=BK-37/9,R=BK-37/9+BK-5	14	s14[69,72]	302980/33	9182	closed_directly
43	677	Gallai	s16:L=BK-37/9+BK-5,R=BK-5	16	s16[84,120]	1663985/182	9143	closed_directly
44	689	Gallai	s16:L=BK-37/9+BK-5,R=BK-5	16	s16[84,120]	473181/52	9100	closed_directly
45	700	Gallai	s16:L=BK-37/9+BK-5,R=BK-5	16	s16[84,120]	465045/52	8944	closed_directly
46	710	Gallai	s17:L=BK-37/9+BK-5,R=BK-5	17	s17[90,136]	6289481/714	8809	closed_directly
47	719	Gallai	s18:L=BK-37/9+BK-5,R=BK-5	18	s18[95,153]	589875/68	8675	closed_directly
48	727	Gallai	s18:L=BK-37/9+BK-5,R=BK-5	18	s18[95,153]	1150575/136	8461	closed_directly
49	734	Gallai	s19:L=BK-37/9+BK-5,R=BK-5	19	s19[102,171]	31918687/3876	8235	closed_directly
50	740	Gallai	s20:L=BK-37/9+BK-5,R=BK-5	20	s20[108,190]	2577480/323	7980	closed_directly
51	745	Gallai	s21:L=BK-37/9+BK-5,R=BK-5	21	s21[114,210]	23240/3	7747	closed_directly
52	749	Gallai	s21:L=BK-37/9+BK-5,R=BK-5	21	s21[114,210]	1277045/171	7469	closed_directly
53	752	Gallai	s23:L=BK-37/9+BK-5,R=BK-5	23	s23[126,253]	1157105/161	7187	closed_directly
54	754	Barat-Toth+Gallai	s23:L=BK-37/9+BK-5,R=BK-5	23	s23[126,253]	5564117/805	6912	closed_by_disconnected_floor_766
55	768	Barat-Toth	s24:L=BK-37/9+BK-5,R=BK-5	24	s24[132,276]	12374440/1771	6988	frontier
56	781	Barat-Toth	s25:L=BK-37/9+BK-5,R=BK-5	25	s25[138,300]	810423/115	7048	closed_by_recursive_bound_7115
57	795	Barat-Toth	s25:L=BK-37/9+BK-5,R=BK-5	25	s25[138,300]	822987/115	7157	closed_directly
58	808	Barat-Toth	s25:L=BK-37/9+BK-5,R=BK-5	25	s25[138,300]	830074/115	7219	closed_directly
59	822	Barat-Toth	s26:L=BK-37/9+BK-5,R=BK-5	26	s26[144,325]	54543167/7475	7297	closed_directly
60	835	Barat-Toth	s27:L=BK-37/9+BK-5,R=BK-5	27	s27[149,351]	17224811/2340	7362	closed_directly
61	849	Barat-Toth	s27:L=BK-37/9+BK-5,R=BK-5	27	s27[149,351]	52437017/7020	7470	closed_directly
62	862	Barat-Toth	s27:L=BK-37/9+BK-5,R=BK-5	27	s27[149,351]	26442443/3510	7534	closed_directly
63	876	Barat-Toth	s28:L=BK-37/9+BK-5,R=BK-5	28	s28[156,378]	494954/65	7615	closed_directly
64	889	Barat-Toth	s28:L=BK-37/9+BK-5,R=BK-5	28	s28[156,378]	7486469/975	7679	closed_directly
65	903	Barat-Toth	s29:L=BK-37/9+BK-5,R=BK-5	29	s29[162,406]	100905/13	7762	closed_directly
66	916	Barat-Toth	s30:L=BK-37/9+BK-5,R=BK-5	30	s30[168,435]	681392/87	7833	closed_directly
67	930	Barat-Toth	s30:L=BK-37/9+BK-5,R=BK-5	30	s30[168,435]	43514224/5481	7940	closed_directly
68	943	Barat-Toth	s30:L=BK-37/9+BK-5,R=BK-5	30	s30[168,435]	87745801/10962	8005	closed_directly
69	957	Barat-Toth	s31:L=BK-37/9+BK-5,R=BK-5	31	s31[174,465]	509076117/62930	8090	closed_directly
70	970	Barat-Toth	s32:L=BK-37/9+BK-5,R=BK-5	32	s32[180,496]	44025767/5394	8162	closed_directly
