n	critical_m	critical_support	direct_sample	direct_ceiling	status
34	535	Gallai	s10[40,43]@8025/187*23188/105=896396/105	8538	closed
35	558	Gallai	s11[45,54]@6138/119*476/3=9052	9052	closed
52	796	Gallai	s20[108,190]@75620/663*3185/57=26685890/2907	9180	closed
53	801	Gallai	s21[114,210]@84105/689*58565/1197=10678805/1197	8922	closed
54	805	Gallai	s21[114,210]@56350/477*35139/665=17148274/1995	8596	closed
55	808	Gallai	s23[126,253]@18584/135*6201/161=4005157/483	8293	closed
56	810	Cranston-Lemma-E,Gallai	s23[126,253]@1863/14*954/23=1284561/161	7979	closed-by-disconnected-complement
57	824	Cranston-Lemma-E	s24[132,276]@18952/133*855/23=1295640/161	8048	recursive-open
58	838	Cranston-Lemma-E	s25[138,300]@83800/551*3857/115=935074/115	8132	recursive-open
59	852	Cranston-Lemma-E	s25[138,300]@255600/1711*227563/6325=52096366/6325	8237	closed
60	866	Cranston-Lemma-E	s25[138,300]@8660/59*97527/2530=957087/115	8323	closed-direct
61	880	Cranston-Lemma-E	s26[144,325]@28600/183*104371/2990=75278867/8970	8393	closed-direct
62	894	Cranston-Lemma-E	s26[144,325]@290550/1891*111569/2990=25353421/2990	8480	closed-direct
63	908	Cranston-Lemma-E	s27[149,351]@35412/217*13237/390=3348229/390	8586	closed-direct
64	922	Cranston-Lemma-E	s27[149,351]@17979/112*105896/2925=50752549/5850	8676	closed-direct
65	936	Cranston-Lemma-E	s27[149,351]@3159/20*1736/45=393638/45	8748	closed-direct
66	950	Cranston-Lemma-E	s28[156,378]@23940/143*176/5=574432/65	8838	closed-direct
67	964	Cranston-Lemma-E	s28[156,378]@121464/737*11792/315=2807008/315	8912	closed-direct
68	978	Cranston-Lemma-E	s29[162,406]@198534/1139*62645/1827=27005/3	9002	closed-direct
69	992	Cranston-Lemma-E	s30[168,435]@71920/391*288167/9135=83191823/9135	9107	closed-direct
70	1006	Cranston-Lemma-E	s30[168,435]@29174/161*26197/783=50433781/5481	9202	closed-direct
71	1020	Cranston-Lemma-E	s30[168,435]@88740/497*27761/783=50866363/5481	9281	closed-direct
72	1034	Cranston-Lemma-E	s31[174,465]@80135/426*29394/899=8422899/899	9370	closed-direct
73	1048	Cranston-Lemma-E	s32[180,496]@129952/657*108843/3596=25549279/2697	9474	closed-direct
74	1062	Cranston-Lemma-E	s32[180,496]@526752/2701*575313/17980=43019823/4495	9571	closed-direct
75	1076	Cranston-Lemma-E	s32[180,496]@533696/2775*121545/3596=8678751/899	9654	closed-direct
76	1090	Cranston-Lemma-E	s33[186,528]@19184/95*256595/8184=79720015/8184	9741	closed-direct
77	1104	Cranston-Lemma-E	s34[192,561]@28152/133*123025/4216=41501975/4216	9844	closed-direct
78	1118	Cranston-Lemma-E	s34[192,561]@1462/7*129675/4216=1352325/136	9944	closed-direct
79	1132	Cranston-Lemma-E	s34[192,561]@211684/1027*136591/4216=42287749/4216	10031	closed-direct
80	1146	Cranston-Lemma-E	s35[198,595]@68187/316*1027/34=1375803/136	10117	closed-direct
81	1160	Cranston-Lemma-E	s36[203,630]@2030/9*36972/1309=1215968/119	10219	closed-direct

n	m	recursive_cr_lower	degree_excess	forced_degree28_min
57	824	8131	52	5
57	825	8164	54	3
57	826	8198	56	1
57	827	8232	58	0
57	828	8266	60	0
58	838	8210	52	6
58	839	8243	54	4
58	840	8276	56	2
