orbit	left_mask_hex	right_mask_hex	left_support	right_support	residue_weight	quarter_turn_totals
00	0x00	0x01	{}	{0}	1	1,5,9,13,17,21,25,29
01	0x03	0x13	{0,1}	{0,1,4}	5	5,9,13,17,21,25,29,33
02	0x05	0x07	{0,2}	{0,1,2}	5	5,9,13,17,21,25,29,33
03	0x09	0x15	{0,3}	{0,2,4}	5	5,9,13,17,21,25,29,33
04	0x0f	0x2f	{0,1,2,3}	{0,1,2,3,5}	9	9,13,17,21,25,29,33,37
05	0x17	0x01	{0,1,2,4}	{0}	5	5,9,13,17,21,25,29,33
06	0x1b	0x1f	{0,1,3,4}	{0,1,2,3,4}	9	9,13,17,21,25,29,33,37
07	0x1d	0x01	{0,2,3,4}	{0}	5	5,9,13,17,21,25,29,33
08	0x2b	0x37	{0,1,3,5}	{0,1,2,4,5}	9	9,13,17,21,25,29,33,37
09	0x3f	0x0b	{0,1,2,3,4,5}	{0,1,3}	9	9,13,17,21,25,29,33,37
10	0x3f	0x0d	{0,1,2,3,4,5}	{0,2,3}	9	9,13,17,21,25,29,33,37
11	0x3f	0x7f	{0,1,2,3,4,5}	{0,1,2,3,4,5,6}	13	13,17,21,25,29,33,37,41
