b_equal_positions	a_opposite_orbit_representative	a_h_axes	a_h_signs	b_h_axes	b_h_plus_signs	b_h_minus_signs	b_h_center_sign
7,8,13,14	0,4,8,12,16	0010001000000000	0010000011101111	01	10	01	0
5,8,13,16	0,1,5,9,10	0100100000000000	1110000011101001	00	01	01	0
5,7,14,16	0,3,8,11,16	0001000000100000	1010000001111110	01	01	10	0
5,6,15,16	0,2,4,8,13	0000000000000000	0111000001110101	00	10	10	0
5,6,15,16	0,2,4,12,17	0000000000000000	1010000011101110	00	10	10	0
2,8,13,19	0,2,5,8,17	0000000000000000	0101000001110111	00	01	01	0
2,8,13,19	0,2,6,15,18	0000000000000000	1101000011100101	00	01	01	0
2,7,14,19	0,1,2,3,4	0110000110000000	1100000011001111	00	00	11	0
2,6,15,19	0,1,2,6,11	0000000000000000	0111000011011001	00	10	10	0
2,6,15,19	0,1,2,12,17	0000000000000000	1100000011011011	00	10	10	0
1,7,14,20	0,1,2,11,12	1000001000000000	1011000000011111	01	00	11	0
1,5,16,20	0,1,3,6,12	0000000000000000	0000010011101111	00	10	10	0
1,5,16,20	0,1,10,16,19	0000000000000000	0000100011011111	00	10	10	0
1,3,18,20	0,1,3,11,16	0000000000000000	1100000011100111	00	01	01	0
1,3,18,20	0,1,6,11,19	0000000000000000	1111000010100011	00	10	10	0
