b_equal_positions	a_opposite_orbit_representative	rank	soluble
1,2,19,20	0,1,5,13,17	19	0
1,2,19,20	0,1,5,9,17	19	0
1,2,19,20	0,1,9,11,13	19	1
1,3,18,20	0,1,2,17,18	20	1
1,3,18,20	0,1,2,5,6	20	1
1,3,18,20	0,1,3,11,16	20	1
1,3,18,20	0,1,6,11,19	20	1
1,5,16,20	0,1,10,16,19	20	1
1,5,16,20	0,1,3,6,12	20	1
1,7,14,20	0,1,2,11,12	18	1
2,6,15,19	0,1,2,12,17	20	1
2,6,15,19	0,1,2,6,11	20	1
2,6,15,19	0,2,4,10,12	20	1
2,6,15,19	0,2,4,13,15	20	1
2,7,14,19	0,1,2,3,4	18	1
2,8,13,19	0,2,5,8,17	20	1
2,8,13,19	0,2,6,15,18	20	1
3,6,15,18	0,3,6,9,15	19	1
3,7,14,18	0,3,6,12,15	18	1
3,8,13,18	0,1,2,4,17	20	1
3,8,13,18	0,1,2,6,19	20	1
3,8,13,18	0,2,5,13,15	20	1
3,8,13,18	0,2,8,10,18	20	1
3,9,12,18	0,3,6,9,12	19	1
5,6,15,16	0,1,5,6,10	20	1
5,6,15,16	0,1,5,6,17	20	1
5,6,15,16	0,2,4,12,17	20	1
5,6,15,16	0,2,4,8,13	20	1
5,7,14,16	0,3,8,11,16	18	1
5,8,13,16	0,1,2,10,12	19	0
5,8,13,16	0,1,2,11,13	19	0
5,8,13,16	0,1,5,9,10	19	1
6,7,14,15	0,3,6,9,12	18	1
6,9,12,15	0,3,6,12,15	19	1
7,8,13,14	0,4,8,12,16	18	1
7,9,12,14	0,3,6,9,15	18	1
