b_equal_positions	a_opposite_orbit_representative	fourth_order_rank	sixth_s_feasible_cases	b_residue_counts
1,2,19,20	0,1,9,11,13	19	-	486064,486064,392020,770800,770800
1,3,18,20	0,1,2,17,18	20	-	490288,490288,390692,779696,779696
1,3,18,20	0,1,2,5,6	20	-	490288,490288,390692,779696,779696
1,3,18,20	0,1,3,11,16	20	-	490288,490288,390692,779696,779696
1,3,18,20	0,1,6,11,19	20	-	490288,490288,390692,779696,779696
1,5,16,20	0,1,10,16,19	20	-	486064,486064,390228,771312,771312
1,5,16,20	0,1,3,6,12	20	-	486064,486064,390228,771312,771312
1,7,14,20	0,1,2,11,12	18	-	491780,491780,396476,774168,774168
2,6,15,19	0,1,2,12,17	20	-	489264,489264,393684,770352,770352
2,6,15,19	0,1,2,6,11	20	-	489264,489264,393684,770352,770352
2,6,15,19	0,2,4,10,12	20	1	489264,489264,393684,770352,770352
2,6,15,19	0,2,4,13,15	20	1	489264,489264,393684,770352,770352
2,7,14,19	0,1,2,3,4	18	-	490404,490404,394972,772440,772440
2,8,13,19	0,2,5,8,17	20	-	486064,486064,390228,771312,771312
2,8,13,19	0,2,6,15,18	20	-	486064,486064,390228,771312,771312
3,6,15,18	0,3,6,9,15	19	-	477220,477220,381420,748472,748472
3,7,14,18	0,3,6,12,15	18	-	426324,426324,364092,664672,664672
3,8,13,18	0,1,2,4,17	20	-	490288,490288,390692,779696,779696
3,8,13,18	0,1,2,6,19	20	-	490288,490288,390692,779696,779696
3,8,13,18	0,2,5,13,15	20	-	490288,490288,390692,779696,779696
3,8,13,18	0,2,8,10,18	20	-	490288,490288,390692,779696,779696
3,9,12,18	0,3,6,9,12	19	-	477796,477796,381132,755448,755448
5,6,15,16	0,1,5,6,10	20	-	489264,489264,393684,770352,770352
5,6,15,16	0,1,5,6,17	20	-	489264,489264,393684,770352,770352
5,6,15,16	0,2,4,12,17	20	-	489264,489264,393684,770352,770352
5,6,15,16	0,2,4,8,13	20	-	489264,489264,393684,770352,770352
5,7,14,16	0,3,8,11,16	18	-	490404,490404,394972,772440,772440
5,8,13,16	0,1,5,9,10	19	-	486064,486064,392020,770800,770800
6,7,14,15	0,3,6,9,12	18	-	485220,485220,391756,771320,771320
6,9,12,15	0,3,6,12,15	19	-	419156,419156,355644,649696,649696
7,8,13,14	0,4,8,12,16	18	-	491780,491780,396476,774168,774168
7,9,12,14	0,3,6,9,15	18	-	483876,483876,390956,753080,753080
