b_equal_positions	a_opposite_orbit_representative	fourth_order_rank	b_exact_s_phase_assignments	b_sixth_residue_fingerprints	sixth_s_soluble
7,8,13,14	0,4,8,12,16	18	804968	396476	0
6,9,12,15	0,3,6,12,15	19	804968	355644	0
5,8,13,16	0,1,5,9,10	19	804968	392020	0
5,7,14,16	0,3,8,11,16	18	804968	394972	0
5,6,15,16	0,2,4,8,13	20	804968	393684	0
5,6,15,16	0,2,4,12,17	20	804968	393684	0
2,8,13,19	0,2,5,8,17	20	804968	390228	0
2,8,13,19	0,2,6,15,18	20	804968	390228	0
2,7,14,19	0,1,2,3,4	18	804968	394972	0
2,6,15,19	0,1,2,6,11	20	804968	393684	0
2,6,15,19	0,1,2,12,17	20	804968	393684	0
1,7,14,20	0,1,2,11,12	18	804968	396476	0
1,5,16,20	0,1,3,6,12	20	804968	390228	0
1,5,16,20	0,1,10,16,19	20	804968	390228	0
1,3,18,20	0,1,3,11,16	20	804968	390692	0
1,3,18,20	0,1,6,11,19	20	804968	390692	0
