case	representative	s_a_target	s_b_target	rank	labeled_axis_pairs	b_rotation_axis_orbits
0	(1,0,5,0)	(1,-1)	(4,-5)	9	20489616	975696
0	(1,0,5,0)	(1,-1)	(4,-5)	10	196772142	9370102
1	(3,0,4,1)	(3,-3)	(4,-3)	9	20546736	978416
1	(3,0,4,1)	(3,-3)	(4,-3)	10	172877586	8232266
2	(3,0,3,-2)	(3,-3)	(0,-5)	9	20510028	976668
2	(3,0,3,-2)	(3,-3)	(0,-5)	10	172210206	8200486
3	(3,2,3,2)	(5,-1)	(4,-1)	9	11258688	536128
3	(3,2,3,2)	(5,-1)	(4,-1)	10	147928977	7044237
4	(3,2,2,3)	(5,-1)	(4,1)	9	11258688	536128
4	(3,2,2,3)	(5,-1)	(4,1)	10	147928977	7044237
5	(4,1,2,-1)	(5,-3)	(0,-3)	9	11261376	536256
5	(4,1,2,-1)	(5,-3)	(0,-3)	10	135736902	6463662
