case	b_weight	labeled_axis_pairs	b_rotation_axis_orbits
0	4	2378334	113254
0	8	84712152	4033912
0	12	122151204	5816724
0	16	8020068	381908
1	4	2147082	102242
1	8	75123300	3577300
1	12	108742536	5178216
1	16	7411404	352924
2	4	2226084	106004
2	8	75004944	3571664
2	12	108350550	5159550
2	16	7138656	339936
3	4	1791153	85293
3	8	61754154	2940674
3	12	89498682	4261842
3	16	6135528	292168
3	20	8148	388
4	4	1791153	85293
4	8	61754154	2940674
4	12	89498682	4261842
4	16	6135528	292168
4	20	8148	388
5	4	1730988	82428
5	8	56999838	2714278
5	12	82675236	3936916
5	16	5592216	266296
