axis_word	orbit_size	weight	rank	signature	case_0_a_mask	case_1_a_mask	case_2_a_mask	case_3_a_mask	case_4_a_mask	case_5_a_mask
000000	1	0	0	000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
05cb97	7	12	3	000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000f	21	4	10	005	401020802561921ac50000ca2cc0c01e001122004220128120010210108040202580401a20c4c81000c0c0002060901190211260188e4d0410619220402a158001a854020449860820b2711806488409880906040003030008132304580201a40402010808408004814804420044880078030334530000a3584986a401040802	001020802061921a000000ca20c0c01e001122004221128120010210108040202580401a20c4c81000c0c0002260801190210260188e4c0410618220402a048001205402044186082032711806408409880106440003030008132304580201a40402010808408004814884420044880078030304530000005849860401040800	001122ea20e1d21e001122ee20e1d21e02112211d2e0d2e122112211d2e1d2a02de1c21e22eecc112de1c21e20ee8c11d261c2e1ddeeccced2e1c2e1ddeeccee773377bb8743874b733377bb8743864b88317704784387b488337744784387b4054b874b88448844874b074b88448840784b870477448800784b870457448800	401020802561921ac50000ca2dc0c01e001122004221128020010200108040202580400a20c4c80000c0c0002260800090210200188e4c0010618200402a040000a844020449840804b2401804488409880904440003000008130004580200a40402000800400004004804420044000048030004400000004849040400040000	401020802561921ac50000ca2dc0c01e001122004221128020010200108040202580400a20c4c80000c0c0002260800090210200188e4c0010618200402a040000a844020449840804b2401804488409880904440003000008130004580200a40402000800400004004804420044000048030004400000004849040400040000	001122ee20e1d21e001122ee20e1d21e22112200d2e1d2e022112200d2e1d2a02de1c20e22eecc002de1c20e22eecc00d2e1c200ddeecc00d2e1c200ddeecc00443344bb8443844b403344bb8443844b88334444784384b488334444784384b4044b044b00440044044b044b00440044484b040444440000484b040444440000
00e48d	21	8	10	005	dd1122ee2de1d21edd1122ee2de1d21e22112211d2e1d2e122112211d2e1d2e12de1d21e22eedd112de1d21e22eedd11d2e1d2e1ddeeddeed2e1d2e1ddeeddee77bb77bb874b874b77bb77bb874b874b88bb7744784b87b488bb7744784b87b4874b874b88448844874b874b88448844784b87b4774488bb784b87b4774488bb	001122ee20e1d21e001122ee20e1d21e22112211d2e1d2e122112211d2e1d2e12de1c21e22eecc112de1c21e22eecc11d2e1c2e1ddeecceed2e1c2e1ddeeccee773377bb8743874b773377bb8743874b88337744784387b488337744784387b4874b874b88448844874b874b88448844784b870477448800784b870477448800	001122ee20e1d21e001122ee20e1d21e22112211d2e1d2e122112211d2e1d2a02de1c21e22eecc112de1c21e22eecc11d2e1c2e1ddeecceed2e1c2e1ddeeccee773377bb8743874b773377bb8743874b88337744784387b488337744784387b4054b874b88448844874b874b88448844784b870477448800784b870477448800	d91122ee2de1d21edd1122ee2de1d21e22112200d2e1d2e022112200d2e1d2a02de1c20e22eecc002de1c20e22eecc00d2e1c200ddeecc00d2e1c200ddeecc0044bb44bb844b844b44bb44bb844b844b88bb4444784b84b488bb4444784b84b4044b044b00440044044b044b00440044484b040444440000484b040444440000	d91122ee2de1d21edd1122ee2de1d21e22112200d2e1d2e022112200d2e1d2a02de1c20e22eecc002de1c20e22eecc00d2e1c200ddeecc00d2e1c200ddeecc0044bb44bb844b844b44bb44bb844b844b88bb4444784b84b488bb4444784b84b4044b044b00440044044b044b00440044484b040444440000484b040444440000	001122ee20e1d21e001122ee20e1d21e22112200d2e1d2e022112200d2e1d2a02de1c20e22eecc002de1c20e22eecc00d2e1c200ddeecc00d2e1c200ddeecc00443344bb8443844b443344bb8443844b88334444784384b488334444784384b4044b044b00440044044b044b00440044484b040444440000484b040444440000
01cded	21	12	10	005	dd1122ee2de1d21edd1122ee2de1d21e22112211d2e1d2e122112211d2e1d2e12de1d21e22eedd112de1d21e22eedd11d2e1d2e1ddeeddeed2e1d2e1ddeeddee77bb77bb874b874b77bb77bb874b874b88bb7744784b87b488bb7744784b87b4874b874b88448844874b874b88448844784b87b4774488bb784b87b4774488bb	001122ee20e1d21e001122ee20e1d21e22112211d2e1d2e122112211d2e1d2e12de1c21e22eecc112de1c21e22eecc11d2e1c2e1ddeecceed2e1c2e1ddeeccee773377bb8743874b773377bb8743874b88337744784387b488337744784387b4874b874b88448844874b874b88448844784b870477448800784b870477448800	001122ee20e1d21e001122ee20e1d21e22112211d2e1d2e122112211d2e1d2a02de1c21e22eecc112de1c21e22eecc11d2e1c2e1ddeecceed2e1c2e1ddeeccee773377bb8743874b773377bb8743874b88337744784387b488337744784387b4054b874b88448844874b874b88448844784b870477448800784b870477448800	d91122ee2de1d21edd1122ee2de1d21e22112200d2e1d2e022112200d2e1d2a02de1c20e22eecc002de1c20e22eecc00d2e1c200ddeecc00d2e1c200ddeecc0044bb44bb844b844b44bb44bb844b844b88bb4444784b84b488bb4444784b84b4044b044b00440044044b044b00440044484b040444440000484b040444440000	d91122ee2de1d21edd1122ee2de1d21e22112200d2e1d2e022112200d2e1d2a02de1c20e22eecc002de1c20e22eecc00d2e1c200ddeecc00d2e1c200ddeecc0044bb44bb844b844b44bb44bb844b844b88bb4444784b84b488bb4444784b84b4044b044b00440044044b044b00440044484b040444440000484b040444440000	001122ee20e1d21e001122ee20e1d21e22112200d2e1d2e022112200d2e1d2a02de1c20e22eecc002de1c20e22eecc00d2e1c200ddeecc00d2e1c200ddeecc00443344bb8443844b443344bb8443844b88334444784384b488334444784384b4044b044b00440044044b044b00440044484b040444440000484b040444440000
00001b	21	4	9	00a	0080007000000000008000700000000000800080000000000080008000000000000000000008000700000000000800070000000000080008000000000008000810001000000000001000100000000000e000100000000000e00010000000000000000000010001000000000001000100000000000e000100000000000e000100	0080007000000000008000700000000000800080000000000080008000000000000000000008000700000000000800070000000000080008000000000008000810001000000000001000100000000000e000100000000000e00010000000000000000000010001000000000001000100000000000e000100000000000e000100	0080007000000000008000700000000000800080000000000080008000000000000000000008000700000000000800070000000000080008000000000008000810001000000000001000100000000000e000100000000000e00010000000000000000000010001000000000001000100000000000e000100000000000e000100	0080000000000000008000000000000000800000000000000080000000000000000000000008000000000000000800000000000000080000000000000008000000000000000000000000000000000000a000000000000000a00000000000000000000000000000000000000000000000000000000a000000000000000a000000	0080000000000000008000000000000000800000000000000080000000000000000000000008000000000000000800000000000000080000000000000008000000000000000000000000000000000000a000000000000000a00000000000000000000000000000000000000000000000000000000a000000000000000a000000	0080000000000000008000000000000000800000000000000080000000000000000000000008000000000000000800000000000000080000000000000008000000000000000000000000000000000000a000000000000000a00000000000000000000000000000000000000000000000000000000a000000000000000a000000
007643	21	8	10	00c	88bb7744784b87b488bb7744784b87b477bb77bb874b874b77bb77bb874b874b784b87b4774488bb784b87b4774488bb874b874b88448844874b874b8844884422112211d2e1d2e122112211d2e1d2e1dd1122ee2de1d21edd1122ee2de1d21ed2e1d2e1ddeeddeed2e1d2e1ddeeddee2de1d21e22eedd112de1d21e22eedd11	00bb7744704b87b400bb7744704b87b477bb77bb874b874b77bb77bb874b874b784b07b4774400bb784b07b4774400bb874b074b88440044874b074b8844004422002211d2e0d2e122002211d2e0d2e1dd0022ee2de0d21edd0022ee2de0d21ed2e1d2e1ddeeddeed2e1d2e1ddeeddee2de1d20e22eedd002de1d20e22eedd00	00bb7744704b87b400bb7704704b87b477bb77bb874b874b77bb77bb874b874b784b07b4774400bb784b07b4774400bb874b074b88440044874b074b8844004422002211d2e0d2e122002211d2e0d2e1dd0022ee2de0d21edd0022ee2de0d21ed2e1d2e1ddeeddeed2e1d2e1ddeeddee2de1d20e20eedd002de1d20e22eedd00	88bb7744784b87b488bb7704784b87b477bb7700874b874077bb7700874b8740784b070477440000784b070477440000874b070088440000874b07008844000022112211d2e1d2e122112211d2e1d2e1dd1122ee2de1d21edd1122ee2de1d21e02e102e100ee00ee02e102e100ee00ee2de1020e20ee00002de1020e22ee0000	88bb7744784b87b488bb7704784b87b477bb7700874b874077bb7700874b8740784b070477440000784b070477440000874b070088440000874b07008844000022112211d2e1d2e122112211d2e1d2e1dd1122ee2de1d21edd1122ee2de1d21e02e102e100ee00ee02e102e100ee00ee2de1020e20ee00002de1020e22ee0000	00bb7744704b87b400bb7704704b87b477bb7700874b874077bb7700874b8740784b070477440000784b070477440000874b070088440000874b07008844000022002211d2e0d2e122002211d2e0d2e1dd0022ee2de0d21edd0022ee2de0d21e02e102e100ee00ee02e102e100ee00ee2de1020e20ee00002de1020e22ee0000
0117df	21	12	10	00c	88bb7744784b87b488bb7744784b87b477bb77bb874b874b77bb77bb874b874b784b87b4774488bb784b87b4774488bb874b874b88448844874b874b8844884422112211d2e1d2e122112211d2e1d2e1dd1122ee2de1d21edd1122ee2de1d21ed2e1d2e1ddeeddeed2e1d2e1ddeeddee2de1d21e22eedd112de1d21e22eedd11	00bb7744704b87b400bb7744704b87b477bb77bb874b874b77bb77bb874b874b784b07b4774400bb784b07b4774400bb874b074b88440044874b074b8844004422002211d2e0d2e122002211d2e0d2e1dd0022ee2de0d21edd0022ee2de0d21ed2e1d2e1ddeeddeed2e1d2e1ddeeddee2de1d20e22eedd002de1d20e22eedd00	00bb7744704b87b400bb7704704b87b477bb77bb874b874b77bb77bb874b874b784b07b4774400bb784b07b4774400bb874b074b88440044874b074b8844004422002211d2e0d2e122002211d2e0d2e1dd0022ee2de0d21edd0022ee2de0d21ed2e1d2e1ddeeddeed2e1d2e1ddeeddee2de1d20e20eedd002de1d20e22eedd00	88bb7744784b87b488bb7704784b87b477bb7700874b874077bb7700874b8740784b070477440000784b070477440000874b070088440000874b07008844000022112211d2e1d2e122112211d2e1d2e1dd1122ee2de1d21edd1122ee2de1d21e02e102e100ee00ee02e102e100ee00ee2de1020e20ee00002de1020e22ee0000	88bb7744784b87b488bb7704784b87b477bb7700874b874077bb7700874b8740784b070477440000784b070477440000874b070088440000874b07008844000022112211d2e1d2e122112211d2e1d2e1dd1122ee2de1d21edd1122ee2de1d21e02e102e100ee00ee02e102e100ee00ee2de1020e20ee00002de1020e22ee0000	00bb7744704b87b400bb7704704b87b477bb7700874b874077bb7700874b8740784b070477440000784b070477440000874b070088440000874b07008844000022002211d2e0d2e122002211d2e0d2e1dd0022ee2de0d21edd0022ee2de0d21e02e102e100ee00ee02e102e100ee00ee2de1020e20ee00002de1020e22ee0000
036ecd	21	12	9	012	007000700000000000700070000000000070008000000000007000800000000000000000000700070000000000070007000000000007000800000000000700081000e000000000001000e00000000000e000e00000000000e000e000000000000000000001000e000000000001000e00000000000e000e00000000000e000e00	007000700000000000700070000000000070008000000000007000800000000000000000000700070000000000070007000000000007000800000000000700081000e000000000001000e00000000000e000e00000000000e000e000000000000000000001000e000000000001000e00000000000e000e00000000000e000e00	007000700000000000700070000000000070008000000000007000800000000000000000000700070000000000070007000000000007000800000000000700081000e000000000001000e00000000000e000e00000000000e000e000000000000000000001000e000000000001000e00000000000e000e00000000000e000e00	0070000000000000007000000000000000000000000000000000000000000000000000000007000000000000000700000000000000000000000000000000000000008000000000000000800000000000800080000000000080008000000000000000000000000800000000000000080000000000080008000000000008000800	0070000000000000007000000000000000000000000000000000000000000000000000000007000000000000000700000000000000000000000000000000000000008000000000000000800000000000800080000000000080008000000000000000000000000800000000000000080000000000080008000000000008000800	0070000000000000007000000000000000000000000000000000000000000000000000000007000000000000000700000000000000000000000000000000000000008000000000000000800000000000800080000000000080008000000000000000000000000800000000000000080000000000080008000000000008000800
0abf7f	21	16	10	01d	d5eeddee2d1e2d1ecdee9dee2d1e2d1e22eedd11d21e2de122e6dd11d21e2de12d1e0d1e221122112d1e2d1e02112211d21e2de19d11226ed21e2de15c1122ee7744883a87b4784b764488b987b4784b8844884078b478b48844884478b078b487b4784b88bb674487b4784b88bb774478b478b477b977b378b478b477bb77ab	00ee00ee201e201e00ee00ee201e201e22eedd11d21e2de122eedd11d21e2de12d1e2d1e221122112d1e2d1e22112211d21e2de1dd1122eed21e2de1dd1122ee774488bb87b4784b774488bb87b4784b8844884478b478b48844884478b478b487b4784b88bb774487b4784b88bb774478047804770077007804780477007700	00ee00ae201e201e00ee00ee201e201e22eedd11d21e2de122eedd11d21e2de12d1e2d1e221122112d1e2d1e22112211d21e2de1dd1122eed21e2de1dd1122ee774488bb87b4784b774488bb87b4784b8844884478b478b48844884478b478b487b4784b88bb774487b4784b88bb774478047804770077007804780475007700	ddeeddee2d1e2d1eddeeddee2d1e2d1e22eedd00d21e2de022eedd00d21e2de02d1e2d0e221122002d1e2d0e22112200d20e2d00dd002200d20e2d00dd002200774400bb87b4704b774400bb87b4704b0044004470b470b40044004470b470b407b4004b00bb004407b4004b00bb004400040004000000000004000400000000	ddeeddee2d1e2d1eddeeddee2d1e2d1e22eedd00d21e2de022eedd00d21e2de02d1e2d0e221122002d1e2d0e22112200d20e2d00dd002200d20e2d00dd002200774400bb87b4704b774400bb87b4704b0044004470b470b40044004470b470b407b4004b00bb004407b4004b00bb004400040004000000000004000400000000	00ee00ee201e201e00ee00ee201e201e22eedd00d21e2de022eedd00d21e2de02d1e2d0e221122002d1e2d0e22112200d20e2d00dd002200d20e2d00dd002200774400bb87b4704b774400bb87b4704b0044004470b470b40044004470b470b407b4004b00bb004407b4004b00bb004400040004000000000004000400000000
