case	rank	labeled_sign_lifts	b_rotation_sign_lifts
0	9	38597924216667648	1837996391269888
0	10	100277023781136384	4775096370530304
1	9	82771069850198016	3941479516676096
1	10	100925958508787328	4805998024227968
2	9	83996382417368064	3999827734160384
2	10	102772694642515968	4893937840119808
3	9	18278873240904192	870422535281152
3	10	104225128457791488	4963101355132928
4	9	18278873240904192	870422535281152
4	10	104225128457791488	4963101355132928
5	9	26386963731749376	1256522082464256
5	10	72625997974618368	3458380855934208
