case	weight	labeled_sign_lifts	b_rotation_sign_lifts
0	4	1238802427226112	58990591772672
0	8	60323024578064640	2872524979907840
0	12	74754788414793984	3559751829275904
0	16	2558332577719296	121825360843776
1	4	1187856397787136	56564590370816
1	8	66718717967438208	3177081807973248
1	12	108109478230252800	5148070391916800
1	16	7680975763507200	365760750643200
2	4	4552829742440448	216801416306688
2	8	92919927245053440	4424758440240640
2	12	86808347618345472	4133730838968832
2	16	2487972454044672	118474878764032
3	4	709930158013440	33806198000640
3	8	40765644380122368	1941221160958208
3	12	73790921604255744	3513853409726464
3	16	7218852076310784	343754860776704
3	20	18653479993344	888260952064
4	4	709930158013440	33806198000640
4	8	40765644380122368	1941221160958208
4	12	73790921604255744	3513853409726464
4	16	7218852076310784	343754860776704
4	20	18653479993344	888260952064
5	4	1935795787355136	92180751778816
5	8	42408140544478464	2019435264022784
5	12	51523787109096960	2453513671861760
5	16	3145238265437184	149773250735104
