case	b_imaginary_weight	labeled_axis_pairs	b_rotation_orbits	compatible_a_signature_pairs	nonzero_signatures
0	4	3084480	146880	77376	150
0	8	104166720	4960320	262656	512
0	12	150617152	7173952	262656	512
0	16	10390464	494784	164288	322
1	4	2743902	130662	68910	150
1	8	90920844	4329564	230362	512
1	12	131648804	6270388	230362	512
1	16	9062088	431528	143546	322
2	0	472	472	472	1
2	4	2743902	130662	68910	150
2	8	90920844	4329564	230362	512
2	12	131648804	6270388	230362	512
2	16	9062088	431528	143546	322
3	4	2354541	112121	58877	150
3	8	77799456	3704736	198139	512
3	12	112830116	5374084	198139	512
3	16	7741776	368656	123151	322
3	20	8148	388	388	1
4	4	2354541	112121	58877	150
4	8	77799456	3704736	198139	512
4	12	112830116	5374084	198139	512
4	16	7741776	368656	123151	322
4	20	8148	388	388	1
5	0	368	368	368	1
5	4	2185344	104064	54688	150
5	8	71234058	3392098	182248	512
5	12	103427842	4926202	182248	512
5	16	7082208	337248	112896	322
