q_a	q_b	a_mask_hex	b_mask_hex	v_a_hex	v_b_hex
0	5	000000	004183	00	01
0	5	000000	004285	00	01
0	5	000000	004489	00	01
0	5	000000	004891	00	01
0	5	000000	0050a1	00	01
0	5	000000	0060c1	00	01
1	4	000001	001049	01	1d
1	4	000001	001241	01	17
2	3	000003	000803	03	13
2	3	000005	000007	05	07
3	2	000007	000005	07	05
2	3	000009	001009	09	15
2	3	000011	000015	09	15
3	2	000015	000011	15	09
2	3	000021	002021	05	07
2	3	000041	000049	03	13
3	2	000049	000041	13	03
2	3	000081	004081	00	01
2	3	000101	000111	03	13
3	2	000111	000101	13	03
2	3	000201	001041	05	07
2	3	000401	000421	09	15
3	2	000421	000401	15	09
3	2	000803	000003	13	03
3	2	001009	000009	15	09
3	2	001041	000201	07	05
4	1	001049	000001	1d	01
4	1	001241	000001	17	01
3	2	002021	000021	07	05
3	2	004081	000081	01	00
5	0	004183	000000	01	00
5	0	004285	000000	01	00
5	0	004489	000000	01	00
5	0	004891	000000	01	00
5	0	0050a1	000000	01	00
5	0	0060c1	000000	01	00
