q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
5	0	0	000000	004183	fffffff00a55a55555822	eeddd2d118d2771772777
5	0	1	000000	004183	ffffffaf0555d55255227	ee0d25de1d2d771778777
5	0	2	000000	004183	ffffff5f05a52552d5725	1e0dd5deedd27d1787777
5	0	3	000000	004183	fffffff0a555555225772	1c5dfd7c97d2729722777
5	0	4	000000	004183	fffffff0a555555225772	1c5dfd2c92d7279777777
5	0	5	000000	004183	ffff0fa50a5522522577d	ecfdd5d93dd57d3775772
5	1	0	000000	004285	fffffff00a55a55555822	ed1dddde2182771772777
5	1	1	000000	004285	ffffffaf0555d55255227	ed12d02e5edd771778777
5	1	2	000000	004285	ffffff5f05a52552d5725	edcdd5215edd27c77d777
5	1	3	000000	004285	fffffff0a555555225772	9dca70d1d97227c272777
5	1	4	000000	004285	fffffff0a555555225772	9dca20d1d92772c777777
5	1	5	000000	004285	ffff0fa50a5522522577d	cd3ddfde59d5d73775772
5	2	0	000000	004489	fffffff00a55a55555822	edd12dd18d1772e727777
5	2	1	000000	004489	ffffffaf0555d55255227	e0de5d21d2177de787777
5	2	2	000000	004489	ffffff5f05a52552d5725	ed0e25d1dd1dd7e877777
5	2	3	000000	004489	fffffff0a555555225772	c5dcd7f97d97221227777
5	2	4	000000	004489	fffffff0a555555225772	c5dcd2f92d92771777777
5	2	5	000000	004489	ffff0fa50a5522522577d	cdf92fd15d15d7e77d777
5	3	0	000000	004891	fffffff00a55a55555822	eddde2d128d1771772777
5	3	1	000000	004891	ffffffaf0555d55255227	e20de5dedd21771778777
5	3	2	000000	004891	ffffff5f05a52552d5725	1d0de5de2dde7d1787777
5	3	3	000000	004891	fffffff0a555555225772	1f5dcd7c27d9729722777
5	3	4	000000	004891	fffffff0a555555225772	1f5dcd2c72d9279777777
5	3	5	000000	004891	ffff0fa50a5522522577d	edfdc5d95dd37d3775772
5	4	0	000000	0050a1	fffffff00a55a55555822	edddd1de2782171772777
5	4	1	000000	0050a1	ffffffaf0555d55255227	ed02d12e57dde71778777
5	4	2	000000	0050a1	ffffff5f05a52552d5725	ed5ddc2152dde7c77d777
5	4	3	000000	0050a1	fffffff0a555555225772	9d0a7cd1d27297c272777
5	4	4	000000	0050a1	fffffff0a555555225772	9d0a2cd1d72792c777777
5	4	5	000000	0050a1	ffff0fa50a5522522577d	cdfdd3de5dd5973775772
5	5	0	000000	0060c1	fffffff00a55a55555822	eddd2d118d2771e727777
5	5	1	000000	0060c1	ffffffaf0555d55255227	e0d25de1d2d771e787777
5	5	2	000000	0060c1	ffffff5f05a52552d5725	ed0d25e1dd7dd1e877777
5	5	3	000000	0060c1	fffffff0a555555225772	c5dfd7c97d27291227777
5	5	4	000000	0060c1	fffffff0a555555225772	c5dfd2c92d72791777777
5	5	5	000000	0060c1	ffff0fa50a5522522577d	cdfd2f915d75d1e77d777
5	6	0	000003	000803	3efffff0ff55a55555258	e15dddd22d2cd72777777
5	6	1	000003	000803	ebfffff0ff55555255252	e10dd5dd2d2e872777777
5	6	2	000003	000803	ebfffff0ff55555255252	e10dd5ddddde278277777
5	6	3	000003	000803	bbfff0ff2f52552552557	9e0da0dd52dc772772777
5	6	4	000003	000803	bbfff0ff2f52552552557	9e0da0dd52dc772777777
5	6	5	000003	000803	3efffff05a05a52552257	ee0dd5dd5d2c872872777
5	7	0	000005	000007	ef3fffffaf55055555285	e1cdd5d2dd22d72777777
5	7	1	000005	000007	efbfffff0f55555255225	e1edd0dd5d22872777777
5	7	2	000005	000007	efbfffff0f55555255225	e1edd0dd5ddd278277777
5	7	3	000005	000007	bf3ffaff5f05552552572	ce1df5dd57dd722777777
5	7	4	000005	000007	bf3ffaff5f05552552572	ce1df5dd5d2d777777777
5	7	5	000005	000007	bfeffffa0055552552722	11e00addadddd82777777
5	8	0	000009	001009	effeffff5f55055555287	1df1da8dd822122772777
5	8	1	000009	001009	effeffff5f55055555722	1df1da2dd7d2182777777
5	8	2	000009	001009	3ff3ffff5f55a555d5225	cdf9d5ddd2d21d2777777
5	8	3	000009	001009	3ff3ffff5f55a55555722	1df1dadddd27177777777
5	8	4	000009	001009	3ff3ffff5f55a55555722	1df1da8dd872472772777
5	8	5	000009	001009	3ff30ff50a55a25a2527d	cdf9d0dd52d5e82772777
5	9	0	000011	000015	3fffeff0ff55a55555258	edcd15d2dd22d72777777
5	9	1	000011	000015	efffbff0ff55555255252	eded10dd5d22872777777
5	9	2	000011	000015	efffbff0ff55555255252	eded10dd5ddd278277777
5	9	3	000011	000015	bfffb0ff2f52552552557	9acde0dd02d5772772777
5	9	4	000011	000015	bfffb0ff2f52552552557	9acde0dd02d5772777777
5	9	5	000011	000015	3fffeff05a05a52552257	edcde0dd5d25872872777
5	10	0	000021	002021	effff3ffaf55055555285	ed5d2cd2dd72d12777777
5	10	1	000021	002021	effffbff0f55555255225	ed0dded25d72812777777
5	10	2	000021	002021	effffbff0f55555255225	ed0ddedd5d7d218277777
5	10	3	000021	002021	bfaff3ff5f05552552572	cf5dd1dd572d7e2777777
5	10	4	000021	002021	bfaff3ff5f05552552572	cf5dd1d25d7d7e7777777
5	10	5	000021	002021	bffffefa0055552552722	10a0deddad8dd12777777
5	11	0	000041	000049	efffffef5f55055555287	1df1da1dd822822772777
5	11	1	000041	000049	efffffef5f55055555722	1df1da1dd2d2782777777
5	11	2	000041	000049	3fffff3f5f55a555d5225	cdf9d51dddd22d2777777
5	11	3	000041	000049	3fffff3f5f55a55555722	1df1da1ddd27d77777777
5	11	4	000041	000049	3fffff3f5f55a55555722	1df1da4dd872872772777
5	11	5	000041	000049	3fff0f350a55a25a2527d	cdf9d0ed5dd5282772777
5	12	0	000081	004081	3fff0ffeff55a55555258	ed5d2dd12d22d7c777777
5	12	1	000081	004081	efff0ffbff55555255252	ed0dd5d12d2287e777777
5	12	2	000081	004081	efff0ffbff55555255252	ed0dd5d1ddd827e277777
5	12	3	000081	004081	bffff0fb2f52552552557	9a0dd0de52d277c772777
5	12	4	000081	004081	bffff0fb2f52552552557	9a0dd0de52d277c777777
5	12	5	000081	004081	3fff0ffe5a05a52552257	ed0dd5de5d2287c872777
5	13	0	000101	000111	effffaff3f55055555285	ed5d1dd2cd22d72777777
5	13	1	000101	000111	effff0ffbf55555255225	ed0d15dded22872777777
5	13	2	000101	000111	effff0ffbf55555255225	ed0d15ddeddd278277777
5	13	3	000101	000111	bfaff5ff3f05552552572	cf5de5dd17dd722777777
5	13	4	000101	000111	bfaff5ff3f05552552572	cf5de5dd1d2d777777777
5	13	5	000101	000111	bffff0fae055552552722	10a01addedddd82777777
5	14	0	000201	001041	efffffff5e55055555287	1df8da1dd822122772777
5	14	1	000201	001041	efffffff5e55055555722	1df2da1dd7d2182777777
5	14	2	000201	001041	3fffffff5355a555d5225	cdfdd59dd2d21d2777777
5	14	3	000201	001041	3fffffff5355a55555722	1dfdda1ddd27177777777
5	14	4	000201	001041	3fffffff5355a55555722	1df8da1dd872472772777
5	14	5	000201	001041	3fff0fa50355a25a2527d	cdfdd09d52d5e82772777
5	15	0	000401	000421	3fff0ff5ffe5a55555258	ed5d2cd2dd12d72777777
5	15	1	000401	000421	efff0ff5ffb5555255252	ed0dded25d12872777777
5	15	2	000401	000421	efff0ff5ffb5555255252	ed0ddedd5d1d278277777
5	15	3	000401	000421	bffff0f52fb2552552557	9a0ddcdd02e5772772777
5	15	4	000401	000421	bffff0f52fb2552552557	9a0ddcdd02e5772777777
5	15	5	000401	000421	3fff0ff05ae5a52552257	ed0ddcd25de5872872777
5	16	0	001049	000001	effeffe00f55355a55587	cd0ad5dddd22722772777
5	16	1	001049	000001	effeffb00f55355a55522	cd0ad52dd2d2282777777
5	16	2	001049	000001	eff3ff3f5f55355ad5525	cdf5d5ddddd22d2777777
5	16	3	001049	000001	bff3ff300a55355a55a22	cd0ad5dddd27277277777
5	16	4	001049	000001	bff3ff300a55355a55a22	cd0ad5ddd872772772777
5	16	5	001049	000001	3ff35f35ff553d5a25a25	1dfddfdd5d2582d777777
5	17	0	001241	000001	efffffe00e55355a55587	cd0ad5dddd22722772777
