q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
5	0	0	000000	004183	a885aa8a7d22500f20f20	3cad72dec70752c52252a
5	0	1	000000	004183	8f0fa5a22d70252df5f57	9c80220bca0d22625277a
5	0	2	000000	004183	f07ff827d52ffad252555	6e5d720940fdd24a2fd82
5	0	3	000000	004183	7a78572ad2f0fd2d25707	c6d7a00e6525753a082ff
5	0	4	000000	004183	577550f72f2fdd0af7a25	c37aa5dc970272425fd77
5	0	5	000000	004183	522f57f7257add0d72f28	c90aa55c3ad2004d2fa72
5	1	0	000000	004285	78f70a8582dff5225f25d	ef1725f601207a3d7ad5d
5	1	1	000000	004285	082a0df28a0df277a5225	90170ffb51822ac22a752
5	1	2	000000	004285	ff2d55f2a8522d0a77802	1de207835ea82a3d50a0d
5	1	3	000000	004285	05205dfa2d727277fa8f5	9d1aff04815270672f7a2
5	1	4	000000	004285	77d05228aa52af77f020d	1267a8f18670204a8ff25
5	1	5	000000	004285	a527afffd25072d802725	601f5da3d18058b72fda2
5	2	0	000000	004489	0727fa80da5d57dfd752f	400e582ca0e52a3a27d22
5	2	1	000000	004489	a2da2d55a8d00770f722f	102982ac0f952737225fa
5	2	2	000000	004489	7df2f82fa080d22a55725	4d5ed283f7e505cda2a02
5	2	3	000000	004489	fd22788777dd27f2a2055	edab020305bf576aa0520
5	2	4	000000	004489	8202272a788a20fa25a00	b773758e0a308d1af5252
5	2	5	000000	004489	a22add55a280f7700227f	b02985ac7f952d9022f20
5	3	0	000000	004891	552758f82af8f7d5df220	327de224a5fe0ac258052
5	3	1	000000	004891	fa5007a8a87522fd22d02	65823f0bdd23553f57da2
5	3	2	000000	004891	2027f882d252a8d72f5d7	ba506a5105dcdf15ff22f
5	3	3	000000	004891	505708a22f5f78d722f2a	b587327350a35f92d0d2a
5	3	4	000000	004891	fa820257d2a2057ff5827	6f753771da032a9578df0
5	3	5	000000	004891	5757f7a202ddad07a2f02	e58297dc50a35fc2d027a
5	4	0	000000	0050a1	50200afad22f8a7aa8050	382f56f3d872621d8d225
5	4	1	000000	0050a1	05adff22025f5a782f7d5	3ff5d6067f25621d2d887
5	4	2	000000	0050a1	2d770255f2df5afaaf050	388f59f3d272921d8d225
5	4	3	000000	0050a1	057d8f87522fa7220a52f	67f801218aff1d67a2057
5	4	4	000000	0050a1	055d2f0d22af77a7af507	6ffd532b755d309722887
5	4	5	000000	0050a1	75aa22af057dd27fa0002	375ad9217fdd926d0f807
5	5	0	000000	0060c1	f55da7287582f827dd02f	cd2f259425a0233aa2f05
5	5	1	000000	0060c1	28fd02d852d7af2572f57	905aa0342282d33aa0a02
5	5	2	000000	0060c1	222707d8a00a022a28ad8	3faadfb152d0d13250a58
5	5	3	000000	0060c1	55727528a52f7f2f0fdd7	62872063ddaa7c4fa0520
5	5	4	000000	0060c1	082022d852d7aff572a77	305aa0b482827130a0aa2
5	5	5	000000	0060c1	8a72df20f55205722af28	c0af8f1c5daad14722572
5	6	0	000003	000803	e62f55dd0fd7078a057af	33575ad02083aaddd7222
5	6	1	000003	000803	e4a2f205af25f28a0d750	49557d22fa837df22207d
5	6	2	000003	000803	cc22a82288222d757f05a	1b2aa70afdd120d005a5f
5	6	3	000003	000803	3bdf2d72d05f5a7725872	3e7f70dfa5a425fd27505
5	6	4	000003	000803	e6578fd828202a072f725	c1f57a0af701207875aa2
5	6	5	000003	000803	1107aa82f7200a2faa250	96dd2a0f72a1888082220
5	7	0	000005	000007	6517df5507f0af7da5dff	9c3d22252f7f78272dd55
5	7	1	000005	000007	1218aa05772228f02a8df	66e2af2f75870d5f2050d
5	7	2	000005	000007	1a3d2a75ddf8a77d00272	113027fa5fa5d50d28fad
5	7	3	000005	000007	179755f70fa22d7f072ad	c6350522f28a2a07d807a
5	7	4	000005	000007	171f72a575f72f87a02dd	93457272f8af702f05d5a
5	7	5	000005	000007	12125ad772f2287f078ad	c6e80f252f8ada550250f
5	8	0	000009	001009	1821aff728d87852d20a7	42a12052afd042aa02a0f
5	8	1	000009	001009	c5db27d50a7d022f720aa	6aa1202dff0d42a770d57
5	8	2	000009	001009	3a2428fa2df2f58d25750	6f0e5d2802a04dda20da7
5	8	3	000009	001009	1f240fd7ad755272a70af	4ad9570d5ffd3f2772752
5	8	4	000009	001009	cddba57072225f257f07a	902e75a0a7d240f7f577d
5	8	5	000009	001009	4da12872da202f577f02a	9d2420aa8ffd600fd2575
5	9	0	000011	000015	98f0ca0a0502a27228a0a	4a60c552f2fd2277dd2d7
5	9	1	000011	000015	1220cf7a55257fa8d7df2	104f62f7f5702582ad2ad
5	9	2	000011	000015	42a0b2d5d702d2a78a20f	cf109a52d0720aaf2d7d5
5	9	3	000011	000015	452090af2a2f5782a7f02	6240ef0d8d855a772f722
5	9	4	000011	000015	4f274f520a272a88d2d72	ba471af7f52055fdf0275
5	9	5	000011	000015	e7a0372ad8f5225f027d5	1db035fa0ada2587d8220
5	10	0	000021	002021	625f532a80827dfd5a8f0	927a06d2520adbf820022
5	10	1	000021	002021	b02289fa722f5d7d055f2	e87a21002250a38a7f52d
5	10	2	000021	002021	3a757c0aa252dda7d0f02	c2528b0da02af92d02258
