q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
5	0	3	000000	004183	7a78572ad2f0fd2d25707	c6d7a00e6525753a082ff
5	0	4	000000	004183	577550f72f2fdd0af7a25	c37aa5dc970272425fd77
5	1	3	000000	004285	05205dfa2d727277fa8f5	9d1aff04815270672f7a2
5	2	5	000000	004489	a22add55a280f7700227f	b02985ac7f952d9022f20
5	3	5	000000	004891	5757f7a202ddad07a2f02	e58297dc50a35fc2d027a
5	4	0	000000	0050a1	50200afad22f8a7aa8050	382f56f3d872621d8d225
5	4	4	000000	0050a1	055d2f0d22af77a7af507	6ffd532b755d309722887
5	5	1	000000	0060c1	28fd02d852d7af2572f57	905aa0342282d33aa0a02
5	6	0	000003	000803	e62f55dd0fd7078a057af	33575ad02083aaddd7222
5	6	4	000003	000803	e6578fd828202a072f725	c1f57a0af701207875aa2
5	7	0	000005	000007	6517df5507f0af7da5dff	9c3d22252f7f78272dd55
5	7	5	000005	000007	12125ad772f2287f078ad	c6e80f252f8ada550250f
5	8	1	000009	001009	c5db27d50a7d022f720aa	6aa1202dff0d42a770d57
5	8	4	000009	001009	cddba57072225f257f07a	902e75a0a7d240f7f577d
5	9	1	000011	000015	1220cf7a55257fa8d7df2	104f62f7f5702582ad2ad
5	9	5	000011	000015	e7a0372ad8f5225f027d5	1db035fa0ada2587d8220
5	10	2	000021	002021	3a757c0aa252dda7d0f02	c2528b0da02af92d02258
5	11	1	000041	000049	c07afa62075272d22d8d8	12a1ffe87f7255a525f00
5	11	4	000041	000049	6a722742dd072828082fa	6026a067ffd07a805a00a
5	12	2	000081	004081	1adaaf2b828d257702200	657a8d01dffd206dff525
5	13	1	000101	000111	9552a0f29f7250f02d7af	6288ed0062a0d72820a72
5	13	2	000101	000111	e52d7df2e7ff7a0555280	17dfe72ae85d0d0df2557
5	13	4	000101	000111	60a5d2723ff578af05a02	38a0427260d288522a8f7
5	13	5	000101	000111	328227d76288287d2d228	1a0feaf5ef5a55f0a0500
5	14	4	000201	001041	472a282d0622af70882a0	15005ae5a8f732777fda0
5	15	5	000401	000421	b2255557ffcf7d225af02	1f7a2b228d385d58da020
5	16	2	001049	000001	627328c2dfa7607dddd75	e52000d22daa0805fa0aa
5	16	3	001049	000001	15a12f478f7237da20a5f	607d5af0d8a77d520722f
5	17	1	001241	000001	9f00a03a86d53da7d2722	10a52277d0f28f70da52a
5	17	2	001241	000001	60af22e5f1a842005f0aa	60288dad28d0227da0228
5	17	4	001241	000001	60a5af607e5048202fa2f	42f72af827228d8205578
37	0	1	03ffff	0bffff	6e131c3c3b6199b1be725	e3c643e6131639314ea98
37	0	2	03ffff	0bffff	ec66334169e9c431e32a8	e31c3633ce1699ee4954d
37	0	3	03ffff	0bffff	961334eebb6134e3e1857	31444c3eb46be3116ea92
37	1	1	07cfbf	1fffff	6161e3239be975ccce375	4149e96c4e6e33e34e361
37	1	3	07cfbf	1fffff	e11cc6a369b175b31e377	46e1ece3666be11c4b443
37	1	4	07cfbf	1fffff	13c36351669b253ebbc28	3b334169b1c14ec16b66b
37	2	1	07cfdf	1fffff	c9eb6f11e4e12714396f7	11ce6193c6431e6bb36b1
37	3	0	07fdff	07ffff	1996333368b314eeb9cd5	ee16439336991633c3ed5
37	3	1	07fdff	07ffff	c3e43ce6424916ce663ad	63e9c1b119336b3c63925
37	3	5	07fdff	07ffff	46ec66ce1833661ec61f7	6c16331e99cb93c196e70
37	4	1	0affff	0effff	e43e96bc6641193e032e8	b666636933c31c9c5e13d
37	4	2	0affff	0effff	3494eb91c4ee3136242ea	e91366c93cc6ce63d3915
37	4	3	0affff	0effff	16e3ce1bc44e4e637b562	c36e14369c6e14c3a64b2
37	4	4	0affff	0effff	666346c66963cccc2c2e7	b331314414be1b6bae4e5
37	4	5	0affff	0effff	4633399334469eeea3d12	3196c436691e1cb3dc96f
37	5	2	0bd7bf	1fffff	63b1e3539eb2471e9c290	111eb16b1c99cce333696
37	5	3	0bd7bf	1fffff	4ece3379661fb291365c7	ec46eeee4c39133644466
