q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
5	0	0	000000	004183	800020aad0ad277a2a8a0	be2a7001e825081a22228
5	0	1	000000	004183	5af22d0f728a0d5fd2757	6c882054ca522f62a2f02
5	0	3	000000	004183	052da7a205872af75ff20	6907227492a2f730dda80
5	0	5	000000	004183	a22722aa7dd0f7f00555f	4372f7a1927d081ddad5f
5	1	1	000000	004285	5ff72a2d78d050a720ad2	9262aad90600f0477fd22
5	1	2	000000	004285	0af50a020fa75ddad7722	12e20a8c842d25c7ada20
5	1	4	000000	004285	7aa00525222277fd8f58f	1a388f79f3d025675072a
5	2	2	000000	004489	05700f55202ffd2a8a2aa	127ed52b0d47d21f288ad
5	2	3	000000	004489	08f5d572a7f255207a2ff	b024727627e2aacd050d8
5	2	4	000000	004489	7275ff508ad22d75720fa	970387d15537ff65a2d7f
5	3	1	000000	004891	d202ff825d5a7fad77502	65f0b751d2d1a23f770da
5	3	5	000000	004891	7f550da52072ad2d7f27f	1afdc52ef20c85b57257d
5	4	3	000000	0050a1	d72287a7f8d07252025fa	4f2a095b205738ea202a0
5	4	4	000000	0050a1	ff050227af5720f255a8a	b282db8152721d4fa7707
5	5	2	000000	0060c1	0aa8a2a250af200d0f752	45d82d94072223baddd2f
5	5	3	000000	0060c1	d5a702fa25fa00f02577a	422528b67fdd7138752fd
5	5	4	000000	0060c1	5f028055a25fffad27727	62d0f5362d8f7948f7572
5	6	0	000003	000803	9c0dd27d27f52a8227788	360a20faa2d10afa50205
5	7	1	000005	000007	3212a5df770a5fda0aa00	336add0ad0852d7d22777
5	7	4	000005	000007	62e82278f5877f7502dd2	4cef7aa5a05277500a20f
5	7	5	000005	000007	9f302d2f5a72228a57f50	4e4a5d057fdd8d2a7f220
5	8	3	000009	001009	e2a3082f27f2785f557d5	67097ada5f283f7220d50
5	9	0	000011	000015	157a17a80fa20f8fdd275	1fca6750d2df222a82750
5	9	3	000011	000015	4d77ea2f2f8d0025a5277	326247af0f020d57ad58a
5	10	0	000021	002021	4af0597a200fda05a7fd2	18225e0fa72789222028d
5	10	2	000021	002021	b2f5062d7228a228850fd	3f7551250af8de5ffd52d
5	10	3	000021	002021	9f57712df5002a7fa7d72	bf7806a520a02e750dd72
5	11	2	000041	000049	3d7d22ba5d0a750a220f8	cd5e5a1d25fd7725f7f0d
5	12	2	000081	004081	4250dd5e2a8257f07af2f	ed72875cf050229d5afd2
5	13	4	000101	000111	3702f50d6720a78f2ada5	ca25927f4d82a700270a7
5	14	0	000201	001041	900da5ff2b57d5f27d827	10dda76f520fea5022d77
5	14	2	000201	001041	1fdd7dd77e72072af55a0	eddfd0ba0fa712552507d
5	15	1	000401	000421	ed827f025f600f258a5a2	b72086d75a1d72f25d20f
5	15	3	000401	000421	1225f75f28402a7f5fad7	c220a65827e5af00877d2
5	16	1	001049	000001	9d26fd6dd280b77a07220	c57f2faa0527a0d0052a2
5	16	2	001049	000001	e05e0a170f8062afa205a	cd0258a2d2a270288282d
5	17	0	001241	000001	48d078e05ef232a7285ad	6f02a28a0f005d2ad5722
5	17	2	001241	000001	eadf72e72cad405252708	9f525fd2af0a002587d2d
37	0	3	03ffff	0bffff	eb46431ee63364b9130ad	4414463ec6ceeeeb14762
37	0	4	03ffff	0bffff	36c16e31969433613bf8a	b1933e3bbcb461446621d
37	1	5	07cfbf	1fffff	66633e7ec31602c9c16a8	c1314e9349e4336be91e9
37	2	1	07cfdf	1fffff	e4e14abbc116f261633d8	bc369c114e1c6b6e13366
37	2	3	07cfdf	1fffff	64b13591e3c328be6b352	1cc3e6e4643b4614e693e
37	2	4	07cfdf	1fffff	ecec45364436729b3e1a2	4e39e3e633b4396c94416
37	4	0	0affff	0effff	6e116b3b19b6c13309db8	4e6ebe33e9164c16213c5
37	4	4	0affff	0effff	c36349e6ee4eb1c124767	4164e611b1663bbc03bca
37	6	0	0bd7ef	1fffff	1463f6e194e26843cef98	eee4e913ee3431e464164
37	6	3	0bd7ef	1fffff	bc617e63c9176a13342ca	466319163ecce4e6143bb
37	7	1	0dbfff	0fbfff	9c66c1136bee667c3a1c0	ee664b936113117cbec42
37	7	4	0dbfff	0fbfff	6bb99e41b136c10b62332	14c99c16eb333e5664b37
37	8	0	0ddbbf	1fffff	3363c329e45bed9eb544d	be3c691e43613b9116e31
37	8	3	0ddbbf	1fffff	69133bd3ec06e86640e67	3391369e1b66963cb14c3
37	8	4	0ddbbf	1fffff	16c916db33abb74160e32	be66e494443343ce6e16c
37	9	4	0ddbf7	1fffff	e1c866cb6101373c6a6e7	96339434cbbeb11e66431
37	9	5	0ddbf7	1fffff	34b53e16310eb2ee98462	3166ebe3b3111c999cc64
37	10	4	0dfeff	0dffff	696cb116fc34163cbf662	b133ce663b66c444e2198
37	11	0	0eefff	0fefff	6e3ebc49441b8ee60c162	1c6166ec4631a6ceb1c32
37	11	4	0eefff	0fefff	4633cee669362cc4a1b35	c43e6bc193e6769313648
37	11	5	0eefff	0fefff	1bce6666b4b1231b23c1d	994931b36ee90e163ec40
37	13	0	0f7f7f	0f7fff	b3e46bb269c1b1171c1e8	1e9b33ece6669140e3135
37	13	3	0f7f7f	0f7fff	463ce360116c9ee7b6b35	91e34c461e436bb2361e8
37	13	4	0f7f7f	0f7fff	33644612b46ceee7c1e97	bcc33e934493413a6166a
37	13	5	0f7f7f	0f7fff	3e91194f6693eeb243630	b91bceb64413e6cd1631d
37	14	3	0fbeff	0ff7ff	c936e64c2c46142e36be7	b446c1ee1be5ec6646330
37	14	5	0fbeff	0ff7ff	1c16641c2636ee76cbbe0	1e93b161bcca644e931c2
37	16	0	0fffff	0dbeff	1349cb331b6e61c914bea	336b336ea61c9bd11d412
37	16	5	0fffff	0dbeff	1be3cee61316b146eb435	b1eebc618136135cbd618
