index	family	c	k	pattern	selector	bound	H	exterior_rows
0	E8	9	0	A	13245	1	15,16,17,18,19,20,21,22,23	32
1	E8	9	1	H	13246	1	2,15,16,17,18,19,20,21,22	32
2	E8	9	1	A	13247	1	2,15,16,17,18,19,20,21,22	32
3	E8	9	2	H	13248	1	2,3,15,16,17,18,19,20,21	32
4	E8	9	2	A	13249	1	2,3,15,16,17,18,19,20,21	32
5	E8	9	3	H	13250	1	2,3,4,15,16,17,18,19,20	32
6	E8	9	3	A	13251	1	2,3,4,15,16,17,18,19,20	32
7	E8	9	4	H	13252	1	2,3,4,5,15,16,17,18,19	32
8	E8	9	4	A	13253	1	2,3,4,5,15,16,17,18,19	32
9	E8	9	5	H	13254	1	2,3,4,5,6,15,16,17,18	32
10	E8	9	5	A	13255	1	2,3,4,5,6,15,16,17,18	32
11	E8	9	6	H	13256	1	2,3,4,5,6,7,15,16,17	32
12	E8	10	0	A	13257	2	15,16,17,18,19,20,21,22,23,24	31
13	E8	10	1	H	13258	2	2,15,16,17,18,19,20,21,22,23	31
14	E8	10	1	A	13259	2	2,15,16,17,18,19,20,21,22,23	31
15	E8	10	2	H	13260	2	2,3,15,16,17,18,19,20,21,22	31
16	E8	10	2	A	13261	2	2,3,15,16,17,18,19,20,21,22	31
17	E8	10	3	H	13262	2	2,3,4,15,16,17,18,19,20,21	31
18	E8	10	3	A	13263	2	2,3,4,15,16,17,18,19,20,21	31
19	E8	10	4	H	13264	2	2,3,4,5,15,16,17,18,19,20	31
20	E8	10	4	A	13265	2	2,3,4,5,15,16,17,18,19,20	31
21	E8	10	5	H	13266	2	2,3,4,5,6,15,16,17,18,19	31
22	E8	10	5	A	13267	2	2,3,4,5,6,15,16,17,18,19	31
23	E8	10	6	H	13268	2	2,3,4,5,6,7,15,16,17,18	31
24	E8	11	0	A	13269	3	15,16,17,18,19,20,21,22,23,24,25	30
25	E8	11	1	H	13270	3	2,15,16,17,18,19,20,21,22,23,24	30
26	E8	11	1	A	13271	3	2,15,16,17,18,19,20,21,22,23,24	30
27	E8	11	2	H	13272	3	2,3,15,16,17,18,19,20,21,22,23	30
28	E8	11	2	A	13273	3	2,3,15,16,17,18,19,20,21,22,23	30
29	E8	11	3	H	13274	3	2,3,4,15,16,17,18,19,20,21,22	30
30	E8	11	3	A	13275	3	2,3,4,15,16,17,18,19,20,21,22	30
31	E8	11	4	H	13276	3	2,3,4,5,15,16,17,18,19,20,21	30
32	E8	11	4	A	13277	3	2,3,4,5,15,16,17,18,19,20,21	30
33	E8	11	5	H	13278	3	2,3,4,5,6,15,16,17,18,19,20	30
34	E8	11	5	A	13279	3	2,3,4,5,6,15,16,17,18,19,20	30
35	E8	11	6	H	13280	3	2,3,4,5,6,7,15,16,17,18,19	30
36	E8	12	0	A	13281	4	15,16,17,18,19,20,21,22,23,24,25,26	29
37	E8	12	1	H	13282	4	2,15,16,17,18,19,20,21,22,23,24,25	29
38	E8	12	1	A	13283	4	2,15,16,17,18,19,20,21,22,23,24,25	29
39	E8	12	2	H	13284	4	2,3,15,16,17,18,19,20,21,22,23,24	29
40	E8	12	2	A	13285	4	2,3,15,16,17,18,19,20,21,22,23,24	29
41	E8	12	3	H	13286	4	2,3,4,15,16,17,18,19,20,21,22,23	29
42	E8	12	3	A	13287	4	2,3,4,15,16,17,18,19,20,21,22,23	29
43	E8	12	4	H	13288	4	2,3,4,5,15,16,17,18,19,20,21,22	29
44	E8	12	4	A	13289	4	2,3,4,5,15,16,17,18,19,20,21,22	29
45	E8	12	5	H	13290	4	2,3,4,5,6,15,16,17,18,19,20,21	29
46	E8	12	5	A	13291	4	2,3,4,5,6,15,16,17,18,19,20,21	29
47	E8	12	6	H	13292	4	2,3,4,5,6,7,15,16,17,18,19,20	29
48	E8	13	0	A	13293	5	15,16,17,18,19,20,21,22,23,24,25,26,27	28
49	E8	13	1	H	13294	5	2,15,16,17,18,19,20,21,22,23,24,25,26	28
50	E8	13	1	A	13295	5	2,15,16,17,18,19,20,21,22,23,24,25,26	28
51	E8	13	2	H	13296	5	2,3,15,16,17,18,19,20,21,22,23,24,25	28
52	E8	13	2	A	13297	5	2,3,15,16,17,18,19,20,21,22,23,24,25	28
53	E8	13	3	H	13298	5	2,3,4,15,16,17,18,19,20,21,22,23,24	28
54	E8	13	3	A	13299	5	2,3,4,15,16,17,18,19,20,21,22,23,24	28
55	E8	13	4	H	13300	5	2,3,4,5,15,16,17,18,19,20,21,22,23	28
56	E8	13	4	A	13301	5	2,3,4,5,15,16,17,18,19,20,21,22,23	28
57	E8	13	5	H	13302	5	2,3,4,5,6,15,16,17,18,19,20,21,22	28
58	E8	13	5	A	13303	5	2,3,4,5,6,15,16,17,18,19,20,21,22	28
59	E8	13	6	H	13304	5	2,3,4,5,6,7,15,16,17,18,19,20,21	28
60	E77	9	0	BB	13305	1	15,16,17,18,19,20,21,22,23	32
61	E77	9	0	BO	13306	1	15,16,17,18,19,20,21,22,23	32
62	E77	9	1	BB	13307	1	2,15,16,17,18,19,20,21,22	32
63	E77	9	1	BO	13308	1	2,15,16,17,18,19,20,21,22	32
64	E77	9	1	OO	13309	1	2,15,16,17,18,19,20,21,22	32
65	E77	9	2	BB	13310	1	2,3,15,16,17,18,19,20,21	32
66	E77	9	2	BO	13311	1	2,3,15,16,17,18,19,20,21	32
