"c","s","k","p","e_both_red","e_anchor_only","e_partner_only","e_both_blue","c_both_red","c_anchor_only","c_partner_only","c_both_blue","orbit_size","unit_sha256"
"9","0","0","0","0","6","6","1","9","5","5","9","28056028","c5b7e8ea710af33b0361fb1123aaea094d85ee86d93183045aa1d67934071193"
"9","0","1","1","1","5","5","2","8","6","6","8","946890945","8d48b37aaa5f6228b4a983af302ce125b6f4c373e9170914135e7fd0ffd83910"
"9","0","2","2","2","4","4","3","7","7","7","7","4122518400","fef46d649d4c12fb3eaa6a805e4ef9ca94bb4d5eec8d3c5fc4211e612f75ce75"
"9","0","3","3","3","3","3","4","6","8","8","6","3156303150","152da0cd0b36ebd28ab93e1737c18c3a5a8c9bf803e3d067bca83c1b8456ed22"
"9","0","4","4","4","2","2","5","5","9","9","5","420840420","b3c926f7bb247a56def151b1b1fa5cad6cd7f8ead2ef1d177bcc51cb03e76b33"
"9","0","5","5","5","1","1","6","4","10","10","4","7014007","6ace66f9726ccf207e78c8865915a2fc05516a7ea4c38079a1df9d3214cc8943"
"9","1","0","1","1","5","5","2","8","6","6","8","189378189","996f6a9b34ec6910c8db12df42e273052a442ab8faf69c42aac980943b8e9070"
"9","1","1","2","2","4","4","3","7","7","7","7","2061259200","c0cb1a07896cdf828c346c6c2bab34356939391b4b3a2952551eb08913c90b75"
"9","1","2","3","3","3","3","4","6","8","8","6","3156303150","85d096f7e3fa52fc2fe80d2101d6b675e5ad3916a140b621554fc328a5077ad2"
"9","1","3","4","4","2","2","5","5","9","9","5","841680840","c89a232ec5f68c2fb0cfeebb47d8e1f13df84ee601b333dec29e8e4384129661"
"9","1","4","5","5","1","1","6","4","10","10","4","35070035","cd7fd65f3be1c1d374cfe5054b1a621241afdc28bc87a59636b335f8ef67a058"
"9","1","5","6","6","0","0","7","3","11","11","3","132496","77d3b0a9841a9664161744aa9a9e3473ad14864cebbbace158dccd3d4c4ac597"
"10","0","0","0","0","6","6","1","10","4","4","10","7014007","e022326b4ae4d628a5df649cee4370ebadd838075868aa5e280195c5a287cca4"
"10","0","1","1","1","5","5","2","9","5","5","9","420840420","a4b0b12cc2658c160c0f49a105de5855d2f52289c713b0c7f83941772b746c56"
"10","0","2","2","2","4","4","3","8","6","6","8","3156303150","85b5469f21bd0c484409d2eb9f327ecc03381d704185f0dd49fa7f28b4a3c8c4"
"10","0","3","3","3","3","3","4","7","7","7","7","4122518400","5ce80356ef91cb568a7168705c6b2ca554a5c1460957cda93905654ab19a532a"
"10","0","4","4","4","2","2","5","6","8","8","6","946890945","aee6a02af92233e6c6fe6df4bd9b71f5d3bfa465f869d86e6546e6606ce5d526"
"10","0","5","5","5","1","1","6","5","9","9","5","28056028","345b551c9165add6355682b499ec93fb2252af7e88d836754823cf5b1c858582"
"10","1","0","1","1","5","5","2","9","5","5","9","84168084","0c997cdb939bbd115cf5c2b928d0afada6b2c90127701186d045ff58d4d46fed"
"10","1","1","2","2","4","4","3","8","6","6","8","1578151575","498d9ff04e5d5cbf103b49ed3f08dd6fa52d966941bc4b49b7e1d59ad5243b79"
"10","1","2","3","3","3","3","4","7","7","7","7","4122518400","53ea96ce33154382776fac2404226d3c74208ddc3fc2342fb38363e98b17cbb4"
"10","1","3","4","4","2","2","5","6","8","8","6","1893781890","260e5d9ad749f3f479352bbac9c0462b61e778969ee813dea1af2d6c89a9f6c2"
"10","1","4","5","5","1","1","6","5","9","9","5","140280140","9eca28f26bbc4d08f454cc3a3567cd332b89c7aa262e89a01873c5bb7a19f6af"
"10","1","5","6","6","0","0","7","4","10","10","4","1002001","48c60c7fdce187350df8aac70ec63d3bd163cefe815dee2e23fc8c7772c49ce4"
"11","0","0","0","0","6","6","1","11","3","3","11","927472","a178fca2cc5ee06ddffbff8d017fc425dd8962a4956f1f9d0026c3b93f3e15e1"
