index	family	c	k	pattern	selector	bound	H	exterior	pair_rows
0	E8	9	0	A	13245	4	15,16,17,18,19,20,21,22,23	32	496
1	E8	9	1	H	13246	4	2,15,16,17,18,19,20,21,22	32	496
2	E8	9	1	A	13247	4	2,15,16,17,18,19,20,21,22	32	496
3	E8	9	2	H	13248	4	2,3,15,16,17,18,19,20,21	32	496
4	E8	9	2	A	13249	4	2,3,15,16,17,18,19,20,21	32	496
5	E8	9	3	H	13250	4	2,3,4,15,16,17,18,19,20	32	496
6	E8	9	3	A	13251	4	2,3,4,15,16,17,18,19,20	32	496
7	E8	9	4	H	13252	4	2,3,4,5,15,16,17,18,19	32	496
8	E8	9	4	A	13253	4	2,3,4,5,15,16,17,18,19	32	496
9	E8	9	5	H	13254	4	2,3,4,5,6,15,16,17,18	32	496
10	E8	9	5	A	13255	4	2,3,4,5,6,15,16,17,18	32	496
11	E8	9	6	H	13256	4	2,3,4,5,6,7,15,16,17	32	496
12	E8	10	0	A	13257	5	15,16,17,18,19,20,21,22,23,24	31	465
13	E8	10	1	H	13258	5	2,15,16,17,18,19,20,21,22,23	31	465
14	E8	10	1	A	13259	5	2,15,16,17,18,19,20,21,22,23	31	465
15	E8	10	2	H	13260	5	2,3,15,16,17,18,19,20,21,22	31	465
16	E8	10	2	A	13261	5	2,3,15,16,17,18,19,20,21,22	31	465
17	E8	10	3	H	13262	5	2,3,4,15,16,17,18,19,20,21	31	465
18	E8	10	3	A	13263	5	2,3,4,15,16,17,18,19,20,21	31	465
19	E8	10	4	H	13264	5	2,3,4,5,15,16,17,18,19,20	31	465
20	E8	10	4	A	13265	5	2,3,4,5,15,16,17,18,19,20	31	465
21	E8	10	5	H	13266	5	2,3,4,5,6,15,16,17,18,19	31	465
22	E8	10	5	A	13267	5	2,3,4,5,6,15,16,17,18,19	31	465
23	E8	10	6	H	13268	5	2,3,4,5,6,7,15,16,17,18	31	465
60	E77	9	0	BB	13305	4	15,16,17,18,19,20,21,22,23	32	496
61	E77	9	0	BO	13306	4	15,16,17,18,19,20,21,22,23	32	496
62	E77	9	1	BB	13307	4	2,15,16,17,18,19,20,21,22	32	496
63	E77	9	1	BO	13308	4	2,15,16,17,18,19,20,21,22	32	496
64	E77	9	1	OO	13309	4	2,15,16,17,18,19,20,21,22	32	496
65	E77	9	2	BB	13310	4	2,3,15,16,17,18,19,20,21	32	496
66	E77	9	2	BO	13311	4	2,3,15,16,17,18,19,20,21	32	496
67	E77	9	2	OO	13312	4	2,3,15,16,17,18,19,20,21	32	496
68	E77	9	3	BB	13313	4	2,3,4,15,16,17,18,19,20	32	496
69	E77	9	3	BO	13314	4	2,3,4,15,16,17,18,19,20	32	496
70	E77	9	3	OO	13315	4	2,3,4,15,16,17,18,19,20	32	496
71	E77	9	4	BB	13316	4	2,3,4,5,15,16,17,18,19	32	496
72	E77	9	4	BO	13317	4	2,3,4,5,15,16,17,18,19	32	496
73	E77	9	4	OO	13318	4	2,3,4,5,15,16,17,18,19	32	496
74	E77	9	5	BO	13319	4	2,3,4,5,6,15,16,17,18	32	496
75	E77	9	5	OO	13320	4	2,3,4,5,6,15,16,17,18	32	496
76	E77	9	6	OO	13321	4	2,3,4,5,6,7,15,16,17	32	496
77	E77	10	0	BB	13322	5	15,16,17,18,19,20,21,22,23,24	31	465
78	E77	10	0	BO	13323	5	15,16,17,18,19,20,21,22,23,24	31	465
79	E77	10	1	BB	13324	5	2,15,16,17,18,19,20,21,22,23	31	465
80	E77	10	1	BO	13325	5	2,15,16,17,18,19,20,21,22,23	31	465
81	E77	10	1	OO	13326	5	2,15,16,17,18,19,20,21,22,23	31	465
82	E77	10	2	BB	13327	5	2,3,15,16,17,18,19,20,21,22	31	465
83	E77	10	2	BO	13328	5	2,3,15,16,17,18,19,20,21,22	31	465
84	E77	10	2	OO	13329	5	2,3,15,16,17,18,19,20,21,22	31	465
85	E77	10	3	BB	13330	5	2,3,4,15,16,17,18,19,20,21	31	465
86	E77	10	3	BO	13331	5	2,3,4,15,16,17,18,19,20,21	31	465
87	E77	10	3	OO	13332	5	2,3,4,15,16,17,18,19,20,21	31	465
88	E77	10	4	BB	13333	5	2,3,4,5,15,16,17,18,19,20	31	465
89	E77	10	4	BO	13334	5	2,3,4,5,15,16,17,18,19,20	31	465
90	E77	10	4	OO	13335	5	2,3,4,5,15,16,17,18,19,20	31	465
91	E77	10	5	BO	13336	5	2,3,4,5,6,15,16,17,18,19	31	465
92	E77	10	5	OO	13337	5	2,3,4,5,6,15,16,17,18,19	31	465
93	E77	10	6	OO	13338	5	2,3,4,5,6,7,15,16,17,18	31	465
145	C8	9	0	B	13390	4	15,16,17,18,19,20,21,22,23	32	496
146	C8	9	0	O	13391	4	15,16,17,18,19,20,21,22,23	32	496
147	C8	9	1	B	13392	4	2,15,16,17,18,19,20,21,22	32	496
148	C8	9	1	O	13393	4	2,15,16,17,18,19,20,21,22	32	496
149	C8	9	2	B	13394	4	2,3,15,16,17,18,19,20,21	32	496
150	C8	9	2	O	13395	4	2,3,15,16,17,18,19,20,21	32	496
151	C8	9	3	B	13396	4	2,3,4,15,16,17,18,19,20	32	496
152	C8	9	3	O	13397	4	2,3,4,15,16,17,18,19,20	32	496
153	C8	9	4	B	13398	4	2,3,4,5,15,16,17,18,19	32	496
154	C8	9	4	O	13399	4	2,3,4,5,15,16,17,18,19	32	496
155	C8	9	5	B	13400	4	2,3,4,5,6,15,16,17,18	32	496
156	C8	9	5	O	13401	4	2,3,4,5,6,15,16,17,18	32	496
157	C8	9	6	B	13402	4	2,3,4,5,6,7,15,16,17	32	496
158	C8	9	6	O	13403	4	2,3,4,5,6,7,15,16,17	32	496
159	C8	10	0	B	13404	5	15,16,17,18,19,20,21,22,23,24	31	465
160	C8	10	0	O	13405	5	15,16,17,18,19,20,21,22,23,24	31	465
161	C8	10	1	B	13406	5	2,15,16,17,18,19,20,21,22,23	31	465
162	C8	10	1	O	13407	5	2,15,16,17,18,19,20,21,22,23	31	465
163	C8	10	2	B	13408	5	2,3,15,16,17,18,19,20,21,22	31	465
164	C8	10	2	O	13409	5	2,3,15,16,17,18,19,20,21,22	31	465
165	C8	10	3	B	13410	5	2,3,4,15,16,17,18,19,20,21	31	465
166	C8	10	3	O	13411	5	2,3,4,15,16,17,18,19,20,21	31	465
167	C8	10	4	B	13412	5	2,3,4,5,15,16,17,18,19,20	31	465
168	C8	10	4	O	13413	5	2,3,4,5,15,16,17,18,19,20	31	465
169	C8	10	5	B	13414	5	2,3,4,5,6,15,16,17,18,19	31	465
170	C8	10	5	O	13415	5	2,3,4,5,6,15,16,17,18,19	31	465
171	C8	10	6	B	13416	5	2,3,4,5,6,7,15,16,17,18	31	465
172	C8	10	6	O	13417	5	2,3,4,5,6,7,15,16,17,18	31	465
215	C77	9	0	BB	13460	4	15,16,17,18,19,20,21,22,23	32	496
216	C77	9	0	BO	13461	4	15,16,17,18,19,20,21,22,23	32	496
217	C77	9	0	OO	13462	4	15,16,17,18,19,20,21,22,23	32	496
218	C77	9	1	BB	13463	4	2,15,16,17,18,19,20,21,22	32	496
219	C77	9	1	BO	13464	4	2,15,16,17,18,19,20,21,22	32	496
220	C77	9	1	OO	13465	4	2,15,16,17,18,19,20,21,22	32	496
221	C77	9	2	BB	13466	4	2,3,15,16,17,18,19,20,21	32	496
222	C77	9	2	BO	13467	4	2,3,15,16,17,18,19,20,21	32	496
223	C77	9	2	OO	13468	4	2,3,15,16,17,18,19,20,21	32	496
224	C77	9	3	BB	13469	4	2,3,4,15,16,17,18,19,20	32	496
225	C77	9	3	BO	13470	4	2,3,4,15,16,17,18,19,20	32	496
226	C77	9	3	OO	13471	4	2,3,4,15,16,17,18,19,20	32	496
227	C77	9	4	BB	13472	4	2,3,4,5,15,16,17,18,19	32	496
228	C77	9	4	BO	13473	4	2,3,4,5,15,16,17,18,19	32	496
229	C77	9	4	OO	13474	4	2,3,4,5,15,16,17,18,19	32	496
230	C77	9	5	BB	13475	4	2,3,4,5,6,15,16,17,18	32	496
231	C77	9	5	BO	13476	4	2,3,4,5,6,15,16,17,18	32	496
232	C77	9	5	OO	13477	4	2,3,4,5,6,15,16,17,18	32	496
233	C77	9	6	BB	13478	4	2,3,4,5,6,7,15,16,17	32	496
234	C77	9	6	BO	13479	4	2,3,4,5,6,7,15,16,17	32	496
235	C77	9	6	OO	13480	4	2,3,4,5,6,7,15,16,17	32	496
236	C77	10	0	BB	13481	5	15,16,17,18,19,20,21,22,23,24	31	465
237	C77	10	0	BO	13482	5	15,16,17,18,19,20,21,22,23,24	31	465
238	C77	10	0	OO	13483	5	15,16,17,18,19,20,21,22,23,24	31	465
239	C77	10	1	BB	13484	5	2,15,16,17,18,19,20,21,22,23	31	465
240	C77	10	1	BO	13485	5	2,15,16,17,18,19,20,21,22,23	31	465
241	C77	10	1	OO	13486	5	2,15,16,17,18,19,20,21,22,23	31	465
242	C77	10	2	BB	13487	5	2,3,15,16,17,18,19,20,21,22	31	465
243	C77	10	2	BO	13488	5	2,3,15,16,17,18,19,20,21,22	31	465
244	C77	10	2	OO	13489	5	2,3,15,16,17,18,19,20,21,22	31	465
245	C77	10	3	BB	13490	5	2,3,4,15,16,17,18,19,20,21	31	465
246	C77	10	3	BO	13491	5	2,3,4,15,16,17,18,19,20,21	31	465
247	C77	10	3	OO	13492	5	2,3,4,15,16,17,18,19,20,21	31	465
248	C77	10	4	BB	13493	5	2,3,4,5,15,16,17,18,19,20	31	465
249	C77	10	4	BO	13494	5	2,3,4,5,15,16,17,18,19,20	31	465
250	C77	10	4	OO	13495	5	2,3,4,5,15,16,17,18,19,20	31	465
251	C77	10	5	BB	13496	5	2,3,4,5,6,15,16,17,18,19	31	465
252	C77	10	5	BO	13497	5	2,3,4,5,6,15,16,17,18,19	31	465
253	C77	10	5	OO	13498	5	2,3,4,5,6,15,16,17,18,19	31	465
254	C77	10	6	BB	13499	5	2,3,4,5,6,7,15,16,17,18	31	465
255	C77	10	6	BO	13500	5	2,3,4,5,6,7,15,16,17,18	31	465
256	C77	10	6	OO	13501	5	2,3,4,5,6,7,15,16,17,18	31	465
319	C77partition	9	0	HO	13564	4	15,16,17,18,19,20,21,22,23	32	496
320	C77partition	9	0	AB	13565	4	15,16,17,18,19,20,21,22,23	32	496
321	C77partition	9	1	HO	13566	4	2,15,16,17,18,19,20,21,22	32	496
