index	family	c	k	pattern	selector	H	exterior	pairs	rows
0	E8	9	0	A	13245	15,16,17,18,19,20,21,22,23	32	496	1488
1	E8	9	1	H	13246	2,15,16,17,18,19,20,21,22	32	496	1488
2	E8	9	1	A	13247	2,15,16,17,18,19,20,21,22	32	496	1488
3	E8	9	2	H	13248	2,3,15,16,17,18,19,20,21	32	496	1488
4	E8	9	2	A	13249	2,3,15,16,17,18,19,20,21	32	496	1488
5	E8	9	3	H	13250	2,3,4,15,16,17,18,19,20	32	496	1488
6	E8	9	3	A	13251	2,3,4,15,16,17,18,19,20	32	496	1488
7	E8	9	4	H	13252	2,3,4,5,15,16,17,18,19	32	496	1488
8	E8	9	4	A	13253	2,3,4,5,15,16,17,18,19	32	496	1488
9	E8	9	5	H	13254	2,3,4,5,6,15,16,17,18	32	496	1488
10	E8	9	5	A	13255	2,3,4,5,6,15,16,17,18	32	496	1488
11	E8	9	6	H	13256	2,3,4,5,6,7,15,16,17	32	496	1488
12	E8	10	0	A	13257	15,16,17,18,19,20,21,22,23,24	31	465	1395
13	E8	10	1	H	13258	2,15,16,17,18,19,20,21,22,23	31	465	1395
14	E8	10	1	A	13259	2,15,16,17,18,19,20,21,22,23	31	465	1395
15	E8	10	2	H	13260	2,3,15,16,17,18,19,20,21,22	31	465	1395
16	E8	10	2	A	13261	2,3,15,16,17,18,19,20,21,22	31	465	1395
17	E8	10	3	H	13262	2,3,4,15,16,17,18,19,20,21	31	465	1395
18	E8	10	3	A	13263	2,3,4,15,16,17,18,19,20,21	31	465	1395
19	E8	10	4	H	13264	2,3,4,5,15,16,17,18,19,20	31	465	1395
20	E8	10	4	A	13265	2,3,4,5,15,16,17,18,19,20	31	465	1395
21	E8	10	5	H	13266	2,3,4,5,6,15,16,17,18,19	31	465	1395
22	E8	10	5	A	13267	2,3,4,5,6,15,16,17,18,19	31	465	1395
23	E8	10	6	H	13268	2,3,4,5,6,7,15,16,17,18	31	465	1395
24	E8	11	0	A	13269	15,16,17,18,19,20,21,22,23,24,25	30	435	1305
25	E8	11	1	H	13270	2,15,16,17,18,19,20,21,22,23,24	30	435	1305
26	E8	11	1	A	13271	2,15,16,17,18,19,20,21,22,23,24	30	435	1305
27	E8	11	2	H	13272	2,3,15,16,17,18,19,20,21,22,23	30	435	1305
28	E8	11	2	A	13273	2,3,15,16,17,18,19,20,21,22,23	30	435	1305
29	E8	11	3	H	13274	2,3,4,15,16,17,18,19,20,21,22	30	435	1305
30	E8	11	3	A	13275	2,3,4,15,16,17,18,19,20,21,22	30	435	1305
31	E8	11	4	H	13276	2,3,4,5,15,16,17,18,19,20,21	30	435	1305
32	E8	11	4	A	13277	2,3,4,5,15,16,17,18,19,20,21	30	435	1305
33	E8	11	5	H	13278	2,3,4,5,6,15,16,17,18,19,20	30	435	1305
34	E8	11	5	A	13279	2,3,4,5,6,15,16,17,18,19,20	30	435	1305
35	E8	11	6	H	13280	2,3,4,5,6,7,15,16,17,18,19	30	435	1305
36	E8	12	0	A	13281	15,16,17,18,19,20,21,22,23,24,25,26	29	406	1218
37	E8	12	1	H	13282	2,15,16,17,18,19,20,21,22,23,24,25	29	406	1218
38	E8	12	1	A	13283	2,15,16,17,18,19,20,21,22,23,24,25	29	406	1218
39	E8	12	2	H	13284	2,3,15,16,17,18,19,20,21,22,23,24	29	406	1218
40	E8	12	2	A	13285	2,3,15,16,17,18,19,20,21,22,23,24	29	406	1218
41	E8	12	3	H	13286	2,3,4,15,16,17,18,19,20,21,22,23	29	406	1218
42	E8	12	3	A	13287	2,3,4,15,16,17,18,19,20,21,22,23	29	406	1218
43	E8	12	4	H	13288	2,3,4,5,15,16,17,18,19,20,21,22	29	406	1218
44	E8	12	4	A	13289	2,3,4,5,15,16,17,18,19,20,21,22	29	406	1218
45	E8	12	5	H	13290	2,3,4,5,6,15,16,17,18,19,20,21	29	406	1218
46	E8	12	5	A	13291	2,3,4,5,6,15,16,17,18,19,20,21	29	406	1218
47	E8	12	6	H	13292	2,3,4,5,6,7,15,16,17,18,19,20	29	406	1218
48	E8	13	0	A	13293	15,16,17,18,19,20,21,22,23,24,25,26,27	28	378	1134
49	E8	13	1	H	13294	2,15,16,17,18,19,20,21,22,23,24,25,26	28	378	1134
50	E8	13	1	A	13295	2,15,16,17,18,19,20,21,22,23,24,25,26	28	378	1134
51	E8	13	2	H	13296	2,3,15,16,17,18,19,20,21,22,23,24,25	28	378	1134
52	E8	13	2	A	13297	2,3,15,16,17,18,19,20,21,22,23,24,25	28	378	1134
53	E8	13	3	H	13298	2,3,4,15,16,17,18,19,20,21,22,23,24	28	378	1134
54	E8	13	3	A	13299	2,3,4,15,16,17,18,19,20,21,22,23,24	28	378	1134
55	E8	13	4	H	13300	2,3,4,5,15,16,17,18,19,20,21,22,23	28	378	1134
56	E8	13	4	A	13301	2,3,4,5,15,16,17,18,19,20,21,22,23	28	378	1134
57	E8	13	5	H	13302	2,3,4,5,6,15,16,17,18,19,20,21,22	28	378	1134
58	E8	13	5	A	13303	2,3,4,5,6,15,16,17,18,19,20,21,22	28	378	1134
59	E8	13	6	H	13304	2,3,4,5,6,7,15,16,17,18,19,20,21	28	378	1134
60	E77	9	0	BB	13305	15,16,17,18,19,20,21,22,23	32	496	1488
61	E77	9	0	BO	13306	15,16,17,18,19,20,21,22,23	32	496	1488
62	E77	9	1	BB	13307	2,15,16,17,18,19,20,21,22	32	496	1488
63	E77	9	1	BO	13308	2,15,16,17,18,19,20,21,22	32	496	1488
64	E77	9	1	OO	13309	2,15,16,17,18,19,20,21,22	32	496	1488
65	E77	9	2	BB	13310	2,3,15,16,17,18,19,20,21	32	496	1488
66	E77	9	2	BO	13311	2,3,15,16,17,18,19,20,21	32	496	1488
67	E77	9	2	OO	13312	2,3,15,16,17,18,19,20,21	32	496	1488
68	E77	9	3	BB	13313	2,3,4,15,16,17,18,19,20	32	496	1488
69	E77	9	3	BO	13314	2,3,4,15,16,17,18,19,20	32	496	1488
70	E77	9	3	OO	13315	2,3,4,15,16,17,18,19,20	32	496	1488
71	E77	9	4	BB	13316	2,3,4,5,15,16,17,18,19	32	496	1488
72	E77	9	4	BO	13317	2,3,4,5,15,16,17,18,19	32	496	1488
73	E77	9	4	OO	13318	2,3,4,5,15,16,17,18,19	32	496	1488
74	E77	9	5	BO	13319	2,3,4,5,6,15,16,17,18	32	496	1488
75	E77	9	5	OO	13320	2,3,4,5,6,15,16,17,18	32	496	1488
76	E77	9	6	OO	13321	2,3,4,5,6,7,15,16,17	32	496	1488
77	E77	10	0	BB	13322	15,16,17,18,19,20,21,22,23,24	31	465	1395
78	E77	10	0	BO	13323	15,16,17,18,19,20,21,22,23,24	31	465	1395
79	E77	10	1	BB	13324	2,15,16,17,18,19,20,21,22,23	31	465	1395
80	E77	10	1	BO	13325	2,15,16,17,18,19,20,21,22,23	31	465	1395
81	E77	10	1	OO	13326	2,15,16,17,18,19,20,21,22,23	31	465	1395
82	E77	10	2	BB	13327	2,3,15,16,17,18,19,20,21,22	31	465	1395
83	E77	10	2	BO	13328	2,3,15,16,17,18,19,20,21,22	31	465	1395
84	E77	10	2	OO	13329	2,3,15,16,17,18,19,20,21,22	31	465	1395
85	E77	10	3	BB	13330	2,3,4,15,16,17,18,19,20,21	31	465	1395
86	E77	10	3	BO	13331	2,3,4,15,16,17,18,19,20,21	31	465	1395
87	E77	10	3	OO	13332	2,3,4,15,16,17,18,19,20,21	31	465	1395
88	E77	10	4	BB	13333	2,3,4,5,15,16,17,18,19,20	31	465	1395
89	E77	10	4	BO	13334	2,3,4,5,15,16,17,18,19,20	31	465	1395
90	E77	10	4	OO	13335	2,3,4,5,15,16,17,18,19,20	31	465	1395
91	E77	10	5	BO	13336	2,3,4,5,6,15,16,17,18,19	31	465	1395
92	E77	10	5	OO	13337	2,3,4,5,6,15,16,17,18,19	31	465	1395
93	E77	10	6	OO	13338	2,3,4,5,6,7,15,16,17,18	31	465	1395
94	E77	11	0	BB	13339	15,16,17,18,19,20,21,22,23,24,25	30	435	1305
95	E77	11	0	BO	13340	15,16,17,18,19,20,21,22,23,24,25	30	435	1305
96	E77	11	1	BB	13341	2,15,16,17,18,19,20,21,22,23,24	30	435	1305
97	E77	11	1	BO	13342	2,15,16,17,18,19,20,21,22,23,24	30	435	1305
98	E77	11	1	OO	13343	2,15,16,17,18,19,20,21,22,23,24	30	435	1305
99	E77	11	2	BB	13344	2,3,15,16,17,18,19,20,21,22,23	30	435	1305
100	E77	11	2	BO	13345	2,3,15,16,17,18,19,20,21,22,23	30	435	1305
101	E77	11	2	OO	13346	2,3,15,16,17,18,19,20,21,22,23	30	435	1305
102	E77	11	3	BB	13347	2,3,4,15,16,17,18,19,20,21,22	30	435	1305
103	E77	11	3	BO	13348	2,3,4,15,16,17,18,19,20,21,22	30	435	1305
104	E77	11	3	OO	13349	2,3,4,15,16,17,18,19,20,21,22	30	435	1305
105	E77	11	4	BB	13350	2,3,4,5,15,16,17,18,19,20,21	30	435	1305
106	E77	11	4	BO	13351	2,3,4,5,15,16,17,18,19,20,21	30	435	1305
107	E77	11	4	OO	13352	2,3,4,5,15,16,17,18,19,20,21	30	435	1305
108	E77	11	5	BO	13353	2,3,4,5,6,15,16,17,18,19,20	30	435	1305
109	E77	11	5	OO	13354	2,3,4,5,6,15,16,17,18,19,20	30	435	1305
110	E77	11	6	OO	13355	2,3,4,5,6,7,15,16,17,18,19	30	435	1305
111	E77	12	0	BB	13356	15,16,17,18,19,20,21,22,23,24,25,26	29	406	1218
112	E77	12	0	BO	13357	15,16,17,18,19,20,21,22,23,24,25,26	29	406	1218
113	E77	12	1	BB	13358	2,15,16,17,18,19,20,21,22,23,24,25	29	406	1218
114	E77	12	1	BO	13359	2,15,16,17,18,19,20,21,22,23,24,25	29	406	1218
115	E77	12	1	OO	13360	2,15,16,17,18,19,20,21,22,23,24,25	29	406	1218
116	E77	12	2	BB	13361	2,3,15,16,17,18,19,20,21,22,23,24	29	406	1218
117	E77	12	2	BO	13362	2,3,15,16,17,18,19,20,21,22,23,24	29	406	1218
118	E77	12	2	OO	13363	2,3,15,16,17,18,19,20,21,22,23,24	29	406	1218
119	E77	12	3	BB	13364	2,3,4,15,16,17,18,19,20,21,22,23	29	406	1218
120	E77	12	3	BO	13365	2,3,4,15,16,17,18,19,20,21,22,23	29	406	1218
121	E77	12	3	OO	13366	2,3,4,15,16,17,18,19,20,21,22,23	29	406	1218
122	E77	12	4	BB	13367	2,3,4,5,15,16,17,18,19,20,21,22	29	406	1218
123	E77	12	4	BO	13368	2,3,4,5,15,16,17,18,19,20,21,22	29	406	1218
124	E77	12	4	OO	13369	2,3,4,5,15,16,17,18,19,20,21,22	29	406	1218
125	E77	12	5	BO	13370	2,3,4,5,6,15,16,17,18,19,20,21	29	406	1218
126	E77	12	5	OO	13371	2,3,4,5,6,15,16,17,18,19,20,21	29	406	1218
127	E77	12	6	OO	13372	2,3,4,5,6,7,15,16,17,18,19,20	29	406	1218
128	E77	13	0	BB	13373	15,16,17,18,19,20,21,22,23,24,25,26,27	28	378	1134
129	E77	13	0	BO	13374	15,16,17,18,19,20,21,22,23,24,25,26,27	28	378	1134
130	E77	13	1	BB	13375	2,15,16,17,18,19,20,21,22,23,24,25,26	28	378	1134
131	E77	13	1	BO	13376	2,15,16,17,18,19,20,21,22,23,24,25,26	28	378	1134
132	E77	13	1	OO	13377	2,15,16,17,18,19,20,21,22,23,24,25,26	28	378	1134
133	E77	13	2	BB	13378	2,3,15,16,17,18,19,20,21,22,23,24,25	28	378	1134
134	E77	13	2	BO	13379	2,3,15,16,17,18,19,20,21,22,23,24,25	28	378	1134
135	E77	13	2	OO	13380	2,3,15,16,17,18,19,20,21,22,23,24,25	28	378	1134
136	E77	13	3	BB	13381	2,3,4,15,16,17,18,19,20,21,22,23,24	28	378	1134
137	E77	13	3	BO	13382	2,3,4,15,16,17,18,19,20,21,22,23,24	28	378	1134
138	E77	13	3	OO	13383	2,3,4,15,16,17,18,19,20,21,22,23,24	28	378	1134
139	E77	13	4	BB	13384	2,3,4,5,15,16,17,18,19,20,21,22,23	28	378	1134
140	E77	13	4	BO	13385	2,3,4,5,15,16,17,18,19,20,21,22,23	28	378	1134
141	E77	13	4	OO	13386	2,3,4,5,15,16,17,18,19,20,21,22,23	28	378	1134
142	E77	13	5	BO	13387	2,3,4,5,6,15,16,17,18,19,20,21,22	28	378	1134
143	E77	13	5	OO	13388	2,3,4,5,6,15,16,17,18,19,20,21,22	28	378	1134
144	E77	13	6	OO	13389	2,3,4,5,6,7,15,16,17,18,19,20,21	28	378	1134
145	C8	9	0	B	13390	15,16,17,18,19,20,21,22,23	32	496	1488
146	C8	9	0	O	13391	15,16,17,18,19,20,21,22,23	32	496	1488
147	C8	9	1	B	13392	2,15,16,17,18,19,20,21,22	32	496	1488
148	C8	9	1	O	13393	2,15,16,17,18,19,20,21,22	32	496	1488
149	C8	9	2	B	13394	2,3,15,16,17,18,19,20,21	32	496	1488
150	C8	9	2	O	13395	2,3,15,16,17,18,19,20,21	32	496	1488
151	C8	9	3	B	13396	2,3,4,15,16,17,18,19,20	32	496	1488
152	C8	9	3	O	13397	2,3,4,15,16,17,18,19,20	32	496	1488
153	C8	9	4	B	13398	2,3,4,5,15,16,17,18,19	32	496	1488
154	C8	9	4	O	13399	2,3,4,5,15,16,17,18,19	32	496	1488
155	C8	9	5	B	13400	2,3,4,5,6,15,16,17,18	32	496	1488
156	C8	9	5	O	13401	2,3,4,5,6,15,16,17,18	32	496	1488
157	C8	9	6	B	13402	2,3,4,5,6,7,15,16,17	32	496	1488
158	C8	9	6	O	13403	2,3,4,5,6,7,15,16,17	32	496	1488
159	C8	10	0	B	13404	15,16,17,18,19,20,21,22,23,24	31	465	1395
160	C8	10	0	O	13405	15,16,17,18,19,20,21,22,23,24	31	465	1395
161	C8	10	1	B	13406	2,15,16,17,18,19,20,21,22,23	31	465	1395
162	C8	10	1	O	13407	2,15,16,17,18,19,20,21,22,23	31	465	1395
163	C8	10	2	B	13408	2,3,15,16,17,18,19,20,21,22	31	465	1395
164	C8	10	2	O	13409	2,3,15,16,17,18,19,20,21,22	31	465	1395
165	C8	10	3	B	13410	2,3,4,15,16,17,18,19,20,21	31	465	1395
166	C8	10	3	O	13411	2,3,4,15,16,17,18,19,20,21	31	465	1395
167	C8	10	4	B	13412	2,3,4,5,15,16,17,18,19,20	31	465	1395
168	C8	10	4	O	13413	2,3,4,5,15,16,17,18,19,20	31	465	1395
169	C8	10	5	B	13414	2,3,4,5,6,15,16,17,18,19	31	465	1395
170	C8	10	5	O	13415	2,3,4,5,6,15,16,17,18,19	31	465	1395
