index	family	c	k	pattern	selector	H	exterior	E_columns	C_columns	rows
0	E8	9	0	A	13245	15,16,17,18,19,20,21,22,23	32	0	9	45
1	E8	9	1	H	13246	2,15,16,17,18,19,20,21,22	32	1	8	45
2	E8	9	1	A	13247	2,15,16,17,18,19,20,21,22	32	1	8	45
3	E8	9	2	H	13248	2,3,15,16,17,18,19,20,21	32	2	7	45
4	E8	9	2	A	13249	2,3,15,16,17,18,19,20,21	32	2	7	45
5	E8	9	3	H	13250	2,3,4,15,16,17,18,19,20	32	3	6	45
6	E8	9	3	A	13251	2,3,4,15,16,17,18,19,20	32	3	6	45
7	E8	9	4	H	13252	2,3,4,5,15,16,17,18,19	32	4	5	45
8	E8	9	4	A	13253	2,3,4,5,15,16,17,18,19	32	4	5	45
9	E8	9	5	H	13254	2,3,4,5,6,15,16,17,18	32	5	4	45
10	E8	9	5	A	13255	2,3,4,5,6,15,16,17,18	32	5	4	45
11	E8	9	6	H	13256	2,3,4,5,6,7,15,16,17	32	6	3	45
12	E8	10	0	A	13257	15,16,17,18,19,20,21,22,23,24	31	0	10	40
13	E8	10	1	H	13258	2,15,16,17,18,19,20,21,22,23	31	1	9	40
14	E8	10	1	A	13259	2,15,16,17,18,19,20,21,22,23	31	1	9	40
15	E8	10	2	H	13260	2,3,15,16,17,18,19,20,21,22	31	2	8	40
16	E8	10	2	A	13261	2,3,15,16,17,18,19,20,21,22	31	2	8	40
17	E8	10	3	H	13262	2,3,4,15,16,17,18,19,20,21	31	3	7	40
18	E8	10	3	A	13263	2,3,4,15,16,17,18,19,20,21	31	3	7	40
19	E8	10	4	H	13264	2,3,4,5,15,16,17,18,19,20	31	4	6	40
20	E8	10	4	A	13265	2,3,4,5,15,16,17,18,19,20	31	4	6	40
21	E8	10	5	H	13266	2,3,4,5,6,15,16,17,18,19	31	5	5	40
22	E8	10	5	A	13267	2,3,4,5,6,15,16,17,18,19	31	5	5	40
23	E8	10	6	H	13268	2,3,4,5,6,7,15,16,17,18	31	6	4	40
24	E8	11	0	A	13269	15,16,17,18,19,20,21,22,23,24,25	30	0	11	33
25	E8	11	1	H	13270	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
26	E8	11	1	A	13271	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
27	E8	11	2	H	13272	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
28	E8	11	2	A	13273	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
29	E8	11	3	H	13274	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
30	E8	11	3	A	13275	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
31	E8	11	4	H	13276	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
32	E8	11	4	A	13277	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
33	E8	11	5	H	13278	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
34	E8	11	5	A	13279	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
35	E8	11	6	H	13280	2,3,4,5,6,7,15,16,17,18,19	30	6	5	33
36	E8	12	0	A	13281	15,16,17,18,19,20,21,22,23,24,25,26	29	0	12	24
37	E8	12	1	H	13282	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
38	E8	12	1	A	13283	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
39	E8	12	2	H	13284	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
40	E8	12	2	A	13285	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
41	E8	12	3	H	13286	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
42	E8	12	3	A	13287	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
43	E8	12	4	H	13288	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
44	E8	12	4	A	13289	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
45	E8	12	5	H	13290	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
46	E8	12	5	A	13291	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
47	E8	12	6	H	13292	2,3,4,5,6,7,15,16,17,18,19,20	29	6	6	24
