signature	triples	lower	upper	z
a,a,a|5/6,5/6,5/6	10	1/2	5/6	1/2
a,a,b|17/90,17/90,5/6	60	0	17/90	0
a,a,ca|5/6,5/6,5/6	10	1/2	5/6	1/2
a,a,cb|4/25,4/25,5/6	10	0	4/25	0
a,a,co|901/1950,901/1950,5/6	130	0	901/1950	0
a,a,h|6/13,6/13,5/6	130	0	6/13	0
a,a,o|7/10,7/10,5/6	10	7/30	7/10	7/30
a,b,b|17/90,17/90,4/5	75	0	17/90	0
a,b,ca|17/90,13/60,5/6	30	0	17/90	0
a,b,cb|4/25,17/90,13/15	30	0	4/25	0
a,b,co|17/90,71/156,901/1950	390	0	17/90	0
a,b,h|17/90,6/13,6/13	390	0	17/90	0
a,b,o|17/90,5/12,7/10	30	0	17/90	0
a,ca,cb|4/25,5/6,1	5	0	4/25	0
a,ca,co|2/5,901/1950,5/6	65	0	2/5	0
a,cb,co|4/25,2/5,901/1950	65	0	4/25	0
a,co,co|901/1950,901/1950,8/15	390	0	901/1950	0
a,h,ca|6/13,3/5,5/6	65	0	6/13	0
a,h,cb|4/25,6/13,3/5	65	0	4/25	0
a,h,co|6/13,901/1950,3/5	845	0	6/13	1108/2535
a,h,h|0,6/13,6/13	260	0	0	0
a,h,h|6/13,6/13,1	130	0	6/13	0
a,o,ca|0,7/10,5/6	5	0	0	0
a,o,cb|0,4/25,7/10	5	0	0	0
a,o,co|901/1950,8/13,7/10	65	0	901/1950	0
a,o,h|6/13,6/13,7/10	65	0	6/13	0
b,b,b|4/5,4/5,4/5	20	2/5	4/5	2/5
b,b,ca|13/60,13/60,4/5	15	0	13/60	0
b,b,cb|4/5,13/15,13/15	15	8/15	4/5	8/15
b,b,co|71/156,71/156,4/5	195	0	71/156	0
b,b,h|6/13,6/13,4/5	195	0	6/13	0
b,b,o|5/12,5/12,4/5	15	0	5/12	0
b,ca,cb|13/60,13/15,1	6	1/12	13/60	1/12
b,ca,co|13/60,2/5,71/156	78	0	13/60	14/195
b,cb,co|2/5,71/156,13/15	78	0	2/5	31/780
