family	c	k	pattern	E_cells	C_cells	anomalies	root_sha256
E8	9	0	A	0,6,6,1	9,5,5,9	2	7c97aedbd474adf5937c5b6376c6f8cc64c2b5841b99e3fa2f5572a0f3c41a69
E8	9	1	H	1,5,5,2	8,6,6,8	2	4db1802108d5fb98a29bc5bc1b92bc0cf9b8f7a628a6e02f6c9e8a64ccb94513
E8	9	1	A	1,5,5,2	8,6,6,8	3	cca04da07079382d707ac8a1c79d75242db2a2f21f6b641a6e2e62f5ce86b9e5
E8	9	2	H	2,4,4,3	7,7,7,7	2	86c9118d9aff1a83aaefaefc3bf1db50cc8df2510ee7e60afe2401b0ce2e7335
E8	9	2	A	2,4,4,3	7,7,7,7	4	7ba721df48898db5d1121629fdd56c69e70891c56c0f29e57dfcbf98819f75dd
E8	9	3	H	3,3,3,4	6,8,8,6	2	edb769e8be6fcc64ef737a6a9df1c3855cd6693c62730ecc4771bdc7cb920d1c
E8	9	3	A	3,3,3,4	6,8,8,6	5	bd8cb3a5a134cadcdfe76b7712d770312fd728d6e1c9472150aad6160cc90d8d
E8	9	4	H	4,2,2,5	5,9,9,5	2	ba40bebac4dbabbe34efa35155af5dd727fb50ce27341a1b1126ef415f2eaa07
E8	9	4	A	4,2,2,5	5,9,9,5	6	bbc0dd5fdbc37fa810821eb006c44551d556dfad5376d442f17e7822e7b071d6
E8	9	5	H	5,1,1,6	4,10,10,4	2	32d09e4d3b1292ec8c0c4a1aa7ce6c90ef5b62611646fb372dbaf0ebf1b92e7e
E8	9	5	A	5,1,1,6	4,10,10,4	7	5631f65ac77d427a77523c154f18a1c5246cb72d372f7b02aee6c74aa0d27698
E8	9	6	H	6,0,0,7	3,11,11,3	2	12dff06f67e3d3999d2fbf3e5c644a91dc0442154925bebad5204b21da05b216
E8	10	0	A	0,6,6,1	10,4,4,10	2	28b4928b728950fa0316bc293e8ffca12b0d3df293f632996279c6b1a5a668b8
E8	10	1	H	1,5,5,2	9,5,5,9	2	d844bef2f71865f4783be70d6caca180bc46f92a74fd9582d68bd6dea416b85b
E8	10	1	A	1,5,5,2	9,5,5,9	3	011a9d0743e992b65146367fc91546b66a84fee4ffd954d2c862127bfe7c1262
E8	10	2	H	2,4,4,3	8,6,6,8	2	b6791e7281a7d17603c1a68f40dfbd0050d0715b95cf7fa86a181b60fd8c4933
E8	10	2	A	2,4,4,3	8,6,6,8	4	51c30c55d368eef6eb567878c9414e1e69cdfa5c55a9b93816c08a7f9a5b2d78
E8	10	3	H	3,3,3,4	7,7,7,7	2	647333abb8b467c6b333e60cc9d66a80eb68cb5f8827e4f665f18e1bde530c1f
E8	10	3	A	3,3,3,4	7,7,7,7	5	0f43f8e9a64bb0a598dadd7cee4c5d88af1e9d7848177135056fea9742e7f36c
E8	10	4	H	4,2,2,5	6,8,8,6	2	cfeaa622482f48c9a11190eff7aaea00460cc45ac97f46dcbe74946183829f18
E8	10	4	A	4,2,2,5	6,8,8,6	6	113106d227d9a22ea7f600b3721ed0984a42a820c266e47d6650c4229951cf31
E8	10	5	H	5,1,1,6	5,9,9,5	2	c09a3428dfa2c4f8baf3b18b43dd1183ef195c9bdb11d88e5f3dec46bc60becf
E8	10	5	A	5,1,1,6	5,9,9,5	7	249e1ebe19c57215c358aaff9f575a073054a5d81ffcb5048b2ef7a4e650e22a
E8	10	6	H	6,0,0,7	4,10,10,4	2	c3a21e2b4c9dec445ecd62ba4c324b8ff4877b8e58a3014d444d27d047523814
E8	11	0	A	0,6,6,1	11,3,3,11	2	02767eef2f31c3a33c2536530da469ae3001c12cdc290f916e44d38d562dcfbe
E8	11	1	H	1,5,5,2	10,4,4,10	2	b1d857685947307ff2c15b00e3ce04b0f4d9064638c1b28cd6a4b35daab988d7
E8	11	1	A	1,5,5,2	10,4,4,10	3	9db2c219d5cfa7bfa9ec63a1c804dae760a2bc3734f2162df5952e73d6e933c7
E8	11	2	H	2,4,4,3	9,5,5,9	2	d3be8a9a48a7b1a8f299481e80432bf6dea11b33f02defcfcaae3bc36f2c32f5
E8	11	2	A	2,4,4,3	9,5,5,9	4	1ef767628494abfd98e7d064c9bb0c94ca49be84e961eb5c06ac2ffd3a93316a
E8	11	3	H	3,3,3,4	8,6,6,8	2	e9038eb58538631f3234066c027ac66a1e0f3c7f08c834bc8c29d8e3f71ce460
E8	11	3	A	3,3,3,4	8,6,6,8	5	983641732d1570c94f763a625c639e60ac70fbe4dd8d26f41248b7fc1b6839e2
E8	11	4	H	4,2,2,5	7,7,7,7	2	3a4e87f77741aca8d28359c604aeef185acdcbc67c250401e56f65b63aa1fe7a
E8	11	4	A	4,2,2,5	7,7,7,7	6	a8b44c2ec88d3d866ef44a4c206b4282c70ca8e397309871f7105378ebd23dd2
E8	11	5	H	5,1,1,6	6,8,8,6	2	c49221443fc908cb0104796cabb4ddecf1bb409c95191175c54a1ca11d536b13
E8	11	5	A	5,1,1,6	6,8,8,6	7	218cc7ce42ceb337a29720fd4a7591eee06a6e8dd5a6a24f7e416c758f56ec09
E8	11	6	H	6,0,0,7	5,9,9,5	2	161e8987605fc88228f381ec5854258852a5ee8d8d1015c2b793c4d0b8c583cb
E8	12	0	A	0,6,6,1	12,2,2,12	2	15735ef314944a09da58668ce4cc66c2b99e5167986a7d874dcb2f1c60ad95f4
E8	12	1	H	1,5,5,2	11,3,3,11	2	b1790e858152e8ccbdbdc8a9ed12ad381586bf82289fe2507d72b0af0d53e218
E8	12	1	A	1,5,5,2	11,3,3,11	3	177b368dcc5538c957b6de05faebe93fc82b7b0293671119a7a6999c1e4505c0
E8	12	2	H	2,4,4,3	10,4,4,10	2	89884f99a1c0543d16e713c3fcbbd380f27d956af43617633595cca24ea655b0
E8	12	2	A	2,4,4,3	10,4,4,10	4	d50a625ee47dc936ac5446d41838ec26ffe43322c6eb7ba4e4ca3f789fe5c0b2
E8	12	3	H	3,3,3,4	9,5,5,9	2	2d0abba146c943cc32a05f607fb769b3042521ca2936a90aa5e039446eb165ec
E8	12	3	A	3,3,3,4	9,5,5,9	5	16a2310d538b26f37bbf5eb1f2e496ab1b097d983c222c4ffdf98ab8f1bf63d1
E8	12	4	H	4,2,2,5	8,6,6,8	2	c69163646f82b366c216383a1deee8eb475f79348bac834b611dd1d16f28c087
E8	12	4	A	4,2,2,5	8,6,6,8	6	0d83fe1fcb021ecb984d0a2a64b6216eee572608bc6fbde217d4ec510e1aa94a
E8	12	5	H	5,1,1,6	7,7,7,7	2	3bb38a10b0100fd128a4f481e42358b3c1fed8fde3430b2b3b255a19866c7b97
E8	12	5	A	5,1,1,6	7,7,7,7	7	61c941c612a9ce46177aaac4311bc2e31ff571a17e6d7b0494b60277e266c291
E8	12	6	H	6,0,0,7	6,8,8,6	2	a7a936f26406945dff887858dc33c05dd0c2b666731612c5e72c4e88722abbd2
E8	13	0	A	0,6,6,1	13,1,1,13	2	56c4919debf399e225e1ea98d90df5003c48b3b111fad5c937a4fb0868932279
E8	13	1	H	1,5,5,2	12,2,2,12	2	7b38ebbc37e96e413217e28d3ee12928db4c4d619e304dead252cb63e19f3658
E8	13	1	A	1,5,5,2	12,2,2,12	3	345d75f429fde42298f3bc5d448ed6902d9ec92ae6ca938c9b29e6f5c0e39a8e
E8	13	2	H	2,4,4,3	11,3,3,11	2	f714d180448020677696b49bb1bf9ff0294e10323a0d83e1dacf0f87572ddb70
E8	13	2	A	2,4,4,3	11,3,3,11	4	cf6dd7310294a702de41f195b11109dc7a30408156afc9ee5815d10430fd4e45
E8	13	3	H	3,3,3,4	10,4,4,10	2	d29715bfc06cc213bcc018fb980a36dab0f00a6f55d1c63d3543fac9e199fbe8
E8	13	3	A	3,3,3,4	10,4,4,10	5	97b387b95880b97cef8e0de56ab8dcc5a0a41c52f228120ab7a5661f67883db6
E8	13	4	H	4,2,2,5	9,5,5,9	2	2b8032991dc1e3bcdb62e6ec1de9f0c95aad61444abdb6ec1fb699472d10a0d7
E8	13	4	A	4,2,2,5	9,5,5,9	6	d2fc129143a4ea0ff0776d67021e871b919689ef91a091f003116ee3a5862e17
E8	13	5	H	5,1,1,6	8,6,6,8	2	975fe93ef6c8d658c169f3f55c3745051f1ca2db599f7bcf80cd3d23eb0f02b6
E8	13	5	A	5,1,1,6	8,6,6,8	7	b77a91ab4c0a6f36c5e51817a236442a53a7b6d05e3b30969e1e3f54563b0df5
E8	13	6	H	6,0,0,7	7,7,7,7	2	1cae9e92bf70f741120cbe94bd9721874a640b7e0f482c5093516041a1cf3ca9
E77	9	0	BB	0,6,6,1	9,5,5,9	8,9	5efba40fff34a5940ea8bb23103f826c3143c84b860e8afd3b256dde88053423
E77	9	0	BO	0,6,6,1	9,5,5,9	8,14	09c3dd9eff837d20aca1b667e2fc62f085716f4b189e868c324f8a72acdf2eb3
E77	9	1	BB	1,5,5,2	8,6,6,8	8,9	cc6533ed68603a1d0277aa50814865d6523f7985ed2c17eb0ba85b4daa715a46
E77	9	1	BO	1,5,5,2	8,6,6,8	8,13	a450a9a233a9d30c736106a2bb7654246a8423080f9f719405750f4d0a825bc2
E77	9	1	OO	1,5,5,2	8,6,6,8	13,14	144cbd9556efc9ecc3658084d9221cf33a9f639430d9681c197267e1bcf32f7a
E77	9	2	BB	2,4,4,3	7,7,7,7	8,9	b7f2b146d1af75b0a795fa7b5080f415154c925a34f43e89a29c6227d322f28b
E77	9	2	BO	2,4,4,3	7,7,7,7	8,12	2c4c85049ee935ec9a9df57939622b0da068c433c8a77c7faf73ab37b7225605
E77	9	2	OO	2,4,4,3	7,7,7,7	12,13	751d7e00357cf89a3188c272988f90e9c2bb1b22d6b8df36e8d2d85d9da6714e
E77	9	3	BB	3,3,3,4	6,8,8,6	8,9	76d05eeec0c1eb0f0d497368e1a0bcbba9350092a7401af50a93ffbff4261889
E77	9	3	BO	3,3,3,4	6,8,8,6	8,11	8658b34fde0b574f4ee9a66352f5a5b37b99631f277b154b87488a2b10b9150e
E77	9	3	OO	3,3,3,4	6,8,8,6	11,12	3264251356517c999991e5f9fdcf72477064221776964396571a574a54370980
E77	9	4	BB	4,2,2,5	5,9,9,5	8,9	015b91daf2b557e76be064664876f6c4d86569095105116afc1b13720d1d475c
E77	9	4	BO	4,2,2,5	5,9,9,5	8,10	d4a960752664bdc5137e029c058bb283690106b92177a17d195a4b471c8886c3
E77	9	4	OO	4,2,2,5	5,9,9,5	10,11	ac709a040605600615f551cf9125622f94d33b885c8e330a44c87d158fe401e7
E77	9	5	BO	5,1,1,6	4,10,10,4	8,9	fcd1448514a5a8154d0788a5d6d929a8fb3cf3d503fba62d4174c5cbbe57d349
E77	9	5	OO	5,1,1,6	4,10,10,4	9,10	8f474ab243f589fad3c376b8322f03ddb23ffe3824c3c35d648597344e6ae28f
E77	9	6	OO	6,0,0,7	3,11,11,3	8,9	89ca71bac6e54a1288e7ce4f880ff8fc08cfd1f95e44eeeb854bce629a2ff19c
E77	10	0	BB	0,6,6,1	10,4,4,10	8,9	ba0557b93dbe24c6bf41a726e67c2c9a58dcec0929306999d159bde00b49173f
E77	10	0	BO	0,6,6,1	10,4,4,10	8,14	31f592c667007f86bcee0f6adc91e24ea48101b66b2f03267d23709ccfce82d2
E77	10	1	BB	1,5,5,2	9,5,5,9	8,9	8e9948b00c8b85c009bfbbf1148893a6859383016d3b1588cf41a993efe1080b
E77	10	1	BO	1,5,5,2	9,5,5,9	8,13	bde03d636255e40ab19967ecafe431f4af4aa0b0feb5dca3c28550a4e64f2905
E77	10	1	OO	1,5,5,2	9,5,5,9	13,14	84f3c98639932297875e902da85fd3a22bb67013fa92aa15e72c5a151f94624d
E77	10	2	BB	2,4,4,3	8,6,6,8	8,9	6b4d9b84c3b7f54c070129634a66f1dd648fbc93af16ebe9c729572005152b1c
E77	10	2	BO	2,4,4,3	8,6,6,8	8,12	f420d0a9ede6ac21010d69ed08d3a641d20e3841400624e40d2b1461bb22723f
E77	10	2	OO	2,4,4,3	8,6,6,8	12,13	1ebbed4fda3580c620cf892982e07920cbe3bce9ad11cf8d4d8495e509e4ec63
E77	10	3	BB	3,3,3,4	7,7,7,7	8,9	2592bffd438bc4eb1c49b9ca09c50450acaed693798e9234def642f7addb246d
E77	10	3	BO	3,3,3,4	7,7,7,7	8,11	719c1c49e3c816541389c461e6acea2cfbfee2f8573f05aae1e2844b8478caaf
E77	10	3	OO	3,3,3,4	7,7,7,7	11,12	c82dfdf6a2320a6281ec76c086cea4ca28f9d8ff40e128c9f6ac19409b51e234
