CERTIFICATE stable_transitivity_mu8_v1 n=8 classes=96 target=13/20
# CLASS <source-index> tournament=<mask> dual=<edge-indices> primal=<order-index:num/den,...>
CLASS 830 tournament=251457479 dual=0,1,2,3,4,5,10,11,12,13,14,15,16,17,20,21,23,24,26,27 primal=9:1/25,195:1/20,2016:1/20,2064:1/50,4470:1/300,5912:71/600,7501:1/30,8801:7/300,11821:1/75,12600:1/20,18673:2/75,19380:7/300,20500:1/20,21435:3/100,23616:1/20,23784:1/200,25539:1/20,27861:1/60,28834:1/20,28904:7/150,29466:2/75,30840:1/300,33936:1/50,36456:1/20,36873:19/200,38162:1/100,38760:9/200
CLASS 1456 tournament=268233671 dual=0,1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,19,20,21,24 primal=1:4/145,160:9/290,2116:2/145,4512:1/20,6790:13/580,7690:1/20,8640:1/20,11821:51/290,12600:1/20,12960:11/580,17850:1/290,18576:6/145,18645:17/580,20500:1/20,22699:1/116,23616:8/145,26289:1/20,26490:1/20,30400:3/145,32051:1/145,33936:27/580,35322:1/20,36633:6/145,36873:4/145,39090:17/580
CLASS 1463 tournament=249494471 dual=0,1,2,3,4,5,9,10,11,14,15,16,19,20,21,22,23,24,26,27 primal=96:1/40,97:1/20,1098:1/40,1320:1/20,1960:1/20,6800:1/20,8658:1/20,8872:1/40,9312:1/40,11912:1/20,11985:1/20,12600:1/40,14704:3/40,16152:1/40,18203:1/20,18576:1/20,23053:1/40,23524:3/20,25292:1/40,25306:1/40,26515:1/40,32116:1/40,38170:1/20
CLASS 1480 tournament=249494407 dual=0,1,2,3,4,5,9,10,11,14,15,16,19,20,21,22,23,24,26,27 primal=96:131/660,498:1/132,1813:1/20,6639:2/165,6993:1/20,7001:1/20,9312:1/60,11985:7/220,13185:1/20,14703:7/660,14704:1/330,17731:1/20,17824:1/20,20310:1/220,22682:7/165,23616:1/11,26370:1/20,26515:19/660,30517:1/110,32206:7/165,33844:5/132,34562:1/132,34891:1/20,35432:13/330,36370:1/132,38769:1/110
CLASS 1481 tournament=249363399 dual=0,1,2,3,4,5,9,10,11,14,15,16,19,20,21,22,23,24,26,27 primal=1100:1/100,1816:1/20,1960:1/20,4344:1/20,4464:1/40,5918:1/20,8658:3/100,9273:1/20,9312:1/20,9816:1/100,11912:1/20,11985:1/25,12600:3/100,13185:3/100,14704:1/50,16152:1/100,18576:7/200,19020:3/200,19384:1/50,23524:39/200,25305:7/200,25306:7/200,32180:3/200,35432:3/200,36873:1/40,37143:1/200,38170:1/20
CLASS 1497 tournament=268235687 dual=0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,19,20,21,23 primal=211:1/80,1080:3/80,3642:1/20,3720:1/60,3793:1/120,5914:7/40,11961:1/120,12272:1/20,12600:3/80,17731:1/30,17850:1/20,17956:1/20,18576:1/80,23524:1/20,26289:1/20,26347:1/240,26370:1/30,28141:3/80,29616:7/240,31560:1/20,31600:1/80,32001:1/60,34562:1/30,34896:1/20,35626:1/20,38193:1/24
CLASS 1500 tournament=266265575 dual=1,2,3,4,7,8,9,10,11,12,14,15,16,17,18,19,20,21,23,24 primal=1:16/335,1176:1/20,1360:7/670,1960:1/20,3601:3/1340,5234:3/670,6018:33/670,6108:16/335,6770:9/1340,11849:1/1340,17656:21/134,18480:21/670,19041:1/20,20830:1/1340,23113:1/20,23130:1/335,23802:29/670,23805:1/20,25778:9/335,26284:53/1340,29424:7/268,30970:5/268,31168:3/1340,32130:61/1340,32256:1/20,33936:3/335,34566:31/1340,36152:7/67
CLASS 1504 tournament=251458535 dual=1,2,3,4,8,9,10,11,13,14,15,16,17,19,20,21,22,23,24,26 primal=720:29/660,1890:1/660,1960:7/220,2136:1/20,3793:19/660,5042:1/165,5640:1/33,9720:1/20,10958:1/660,11811:1/60,11989:1/22,12272:8/165,12600:1/20,12792:1/132,12964:1/20,18076:2/55,18229:1/20,18508:3/220,19899:7/330,19914:23/660,23524:4/33,23784:1/220,25690:7/165,26289:1/20,30244:1/66,34713:43/330,36370:1/55
CLASS 1506 tournament=201257895 dual=0,1,2,3,4,6,8,9,10,11,12,14,15,16,19,20,23,25,26,27 primal=723:19/520,3601:113/1040,3605:3/208,3628:1/20,5913:3/208,5925:3/208,6096:1/20,9360:1/20,11944:37/1040,11961:1/20,12184:23/1040,12600:1/20,13113:1/104,14835:3/260,17859:9/260,17956:33/260,22870:2/65,23113:1/26,25513:1/26,26370:1/20,28825:7/520,31185:3/260,32206:1/20,35161:7/520,35474:3/520,38889:1/52,39075:1/20
