CERTIFICATE stable_transitivity_m6_v1 n=8 classes=96 orders=20 margin=13
# CLASS <source-index> tournament=<mask> profile=<order-index:multiplicity,...>
CLASS 830 tournament=251457479 profile=9:1,210:1,2016:1,2050:1,10952:3,11100:1,11992:1,12541:1,19665:1,19804:1,20193:1,28578:1,28896:2,30003:1,34448:1,36450:1,38376:1
CLASS 1456 tournament=268233671 profile=1:1,280:1,5912:2,11965:1,12600:1,17737:1,17781:1,18181:1,23829:1,24336:1,25540:1,26352:1,28902:1,29746:1,30393:1,34906:1,35280:2,36345:1
CLASS 1463 tournament=249494471 profile=196:1,600:2,6804:1,7683:1,7684:1,11921:1,13596:1,17824:1,18498:1,18640:1,20196:1,23053:1,28804:3,32113:1,37023:1,37088:1,37744:1
CLASS 1480 tournament=249494407 profile=102:1,498:1,870:1,5913:4,7005:1,23871:1,24241:1,26446:1,28828:1,29530:1,29571:1,30003:1,30397:1,32206:1,37890:1,37899:1,38192:1
CLASS 1481 tournament=249363399 profile=601:1,658:1,4320:3,8868:1,11104:1,11808:1,11921:1,17713:3,18640:1,23049:1,26356:1,26418:1,30450:1,32206:1,32274:1,38104:1
CLASS 1497 tournament=268235687 profile=888:1,900:1,1938:1,5914:2,6810:1,10953:1,11869:1,17850:1,18525:1,20480:1,23115:1,23116:1,24360:1,26289:1,29616:2,31562:1,37152:1,39936:1
CLASS 1500 tournament=266265575 profile=192:1,1176:1,1966:1,5913:1,7810:1,13560:1,14729:1,16851:1,17716:3,20387:1,23130:1,25683:1,25722:1,26293:1,31141:1,31146:1,35880:1,36152:1
CLASS 1504 tournament=251458535 profile=210:1,226:1,3757:1,3793:1,5040:1,5911:1,7141:1,12608:1,17713:2,18498:1,18525:1,20313:1,23130:1,25296:1,31593:1,32266:1,37156:1,37236:1,38760:1
CLASS 1506 tournament=201257895 profile=872:1,3604:4,6096:1,11963:1,13113:1,13146:1,17830:1,18184:1,22996:1,24362:1,24976:1,24980:1,25200:1,25236:1,31115:1,37024:1,39075:1
CLASS 1509 tournament=199160807 profile=4:1,193:1,1360:1,1956:1,5921:1,6018:1,17714:1,18072:1,18875:1,20745:1,23113:2,23764:1,24114:1,25698:2,36153:1,37236:1,37745:1,39061:1
CLASS 1519 tournament=251458471 profile=0:3,1957:1,3757:1,7149:1,12544:1,12612:1,17722:1,18676:1,19384:1,26269:1,26289:1,29520:1,29622:1,31593:1,31596:1,31600:1,38193:1,38658:1
CLASS 1520 tournament=251454439 profile=3696:1,3793:1,5948:1,7202:1,7240:1,11821:3,12964:1,18090:1,18637:1,19876:1,23538:2,25532:1,25690:1,34716:1,36370:1,37152:1,39720:1
CLASS 1523 tournament=201126823 profile=872:1,1938:1,3642:1,5924:4,13113:1,17730:1,18184:1,20461:1,20493:1,23112:1,24426:1,28819:1,31416:1,35160:1,35626:1,37272:1,38982:1
CLASS 1525 tournament=199160743 profile=872:1,1080:1,1921:1,5924:1,12912:1,13146:1,18078:1,23616:1,23764:1,24375:1,24513:1,25200:1,26289:1,31185:4,35610:1,37876:1,38889:1
CLASS 1526 tournament=199156711 profile=193:1,1065:1,3816:1,4344:1,5910:3,13146:1,14733:1,17363:1,17712:1,23805:1,24114:1,24978:1,25512:1,28170:1,30840:1,35160:1,38025:1,39075:1
CLASS 1527 tournament=199029735 profile=1921:1,3696:1,9512:2,10964:1,11820:1,12960:1,17373:1,19030:1,20493:1,23130:1,24544:1,26296:1,26301:1,28804:1,28996:1,30250:1,30337:1,37745:1,38880:1
CLASS 1533 tournament=268235655 profile=900:1,5937:1,6790:1,12608:1,17850:1,17970:1,20461:1,23562:1,26224:1,26289:1,30246:1,30282:1,31113:1,32161:1,32200:1,35280:2,35436:1,37024:1,39930:1
CLASS 1536 tournament=266265479 profile=0:3,4201:1,11830:1,13596:1,14553:1,16894:1,17825:1,18513:1,23616:2,23643:1,23800:1,28804:1,30250:1,32200:1,35616:1,37960:1,38026:1
CLASS 1539 tournament=251458439 profile=226:1,5913:1,11925:1,12272:1,12600:1,18526:1,19389:1,20480:1,23101:1,23616:1,26272:1,29016:1,29406:1,30243:1,30282:1,31137:1,35280:2,37024:1,38856:1
CLASS 1599 tournament=268265415 profile=0:2,1:1,2052:1,6831:1,12720:1,18301:1,18437:1,19785:1,23073:1,23136:1,24402:1,26941:1,29400:2,30842:1,31261:1,31329:1,36516:1,37065:1
CLASS 1606 tournament=249526215 profile=600:2,1218:1,1320:1,1837:1,5918:1,6881:1,8556:1,14824:1,16136:1,18301:1,23073:1,23521:2,23773:1,29400:1,30277:1,31555:1,37029:1,38080:1
CLASS 1618 tournament=268265351 profile=2:1,2020:1,6789:1,7234:1,7872:1,7920:1,11824:4,11968:1,19360:1,23146:1,23769:1,30120:1,31395:1,34570:1,34584:1,35354:1,36520:1
CLASS 1625 tournament=249526151 profile=1218:1,1837:1,5913:3,6881:1,7656:1,8592:1,12724:1,23073:1,23773:1,27218:1,29520:1,30260:1,30277:1,31486:1,35554:1,37890:2,37891:1
CLASS 1627 tournament=199190471 profile=3:1,1302:1,1921:1,6780:1,6872:2,7560:1,12738:2,18328:1,20385:1,23085:1,23521:1,24969:1,30858:1,34776:1,36153:1,36303:1,38016:1,39480:1
CLASS 2198 tournament=266271119 profile=870:1,2197:1,2236:1,6105:1,6400:1,6996:1,11824:2,17481:1,17712:1,23250:1,23643:1,26442:1,26498:1,29520:1,29529:1,30412:1,30421:1,35433:1,39635:1
CLASS 2203 tournament=251460047 profile=210:1,1731:1,7113:1,9240:3,11820:2,12565:1,12964:1,13005:1,13009:1,17677:1,19890:1,21360:1,25875:1,26236:1,28906:1,29596:1,34632:1
CLASS 2208 tournament=199162319 profile=3:1,2178:1,2266:1,4320:1,6393:1,6961:1,6995:1,14714:1,14892:1,16860:1,17873:1,23236:2,25490:1,28292:1,28800:1,28803:1,30465:2,38019:1
CLASS 2217 tournament=266267023 profile=1064:1,1352:1,5913:3,7032:1,18050:1,18492:1,21406:1,23616:1,23622:1,29706:1,30393:1,32130:1,32176:1,32256:1,35306:1,35432:1,35581:1,35650:1
