# source-class-index tournament-mask
830 251457479
1456 268233671
1463 249494471
1480 249494407
1481 249363399
1497 268235687
1500 266265575
1504 251458535
1506 201257895
1509 199160807
1519 251458471
1520 251454439
1523 201126823
1525 199160743
1526 199156711
1527 199029735
1533 268235655
1536 266265479
1539 251458439
1599 268265415
1606 249526215
1618 268265351
1625 249526151
1627 199190471
2198 266271119
2203 251460047
2208 199162319
2217 266267023
2220 251459983
2221 251455951
2226 199162255
2227 199158223
2228 199031247
2290 266302863
2295 251491791
2309 266298767
2312 251491727
2313 251487695
2317 199193999
2320 184382927
3452 248442851
3641 265155571
3666 267316147
3670 265219059
3672 250543027
3674 250412019
3813 250574771
3814 250570739
3890 265680851
3918 265744339
3937 250933203
4085 265679827
4102 265675731
4110 184017875
4124 265743315
4141 265743251
4181 265741235
4419 267253163
4423 265156075
4448 267316651
4452 265219563
4721 251622811
4724 249525723
4750 250576283
4755 200240603
4803 260009371
4806 257916315
4808 257785307
4886 267773403
4921 251063771
4943 267838907
5029 249525707
5047 249521611
5163 265156067
5172 183498211
5188 267316643
5192 265219555
5197 248446435
5251 257879523
5282 256769507
5713 266271383
5740 267254423
5747 250477271
6413 266138613
6536 266299349
6537 266172373
6553 266172309
6623 267347893
6624 267220917
6746 266171349
6763 266167253
6772 199062485
6773 184509397
6789 251554773
6811 198998997
6877 198996949
