CERTIFICATE stable_transitivity_residue_profiles_v1 n=8
# CLASS <source-index> tournament=<mask> dilation=<d> stabilizer=<a> deficit=<delta> candidates=<count> profile=<order-index:multiplicity,...>
CLASS 830 tournament=251457479 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=130:1,1124:1,7065:1,10953:1,22756:1,23130:1,30871:1,36692:1
CLASS 830 tournament=251457479 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=730:1,5912:1,6805:1,17716:1,19624:1,25240:1,30442:1,32237:1,34872:1,35286:1,38317:1
CLASS 830 tournament=251457479 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=483:1,6048:1,10296:1,10953:1,12392:1,18594:1,18640:1,19896:1,20416:1,23540:1,25810:1,30864:1,33936:1,36184:1
CLASS 830 tournament=251457479 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=483:1,2040:1,4440:1,7065:1,7758:1,8221:1,8643:1,11088:1,11821:1,11824:1,17717:1,19665:1,28896:1,30013:1,30096:1,30842:1,38184:1
CLASS 1456 tournament=268233671 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=194:1,6032:1,17350:1,23529:1,25233:1,34594:1,36165:1,37162:1
CLASS 1456 tournament=268233671 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=5912:1,6796:1,11821:1,19256:1,20160:1,23107:1,23644:1,29737:1,30586:1,34896:1,35280:1
CLASS 1456 tournament=268233671 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=6032:1,10953:1,11821:1,12618:1,18190:1,23107:1,24456:1,25233:1,25240:1,30586:1,30840:1,31971:1,36003:1,36456:1
CLASS 1456 tournament=268233671 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=0:1,6813:1,8640:1,11913:1,12274:1,13320:1,17717:1,23107:1,23139:1,26221:1,28896:1,30586:1,30842:1,31984:1,35280:1,36153:1,40242:1
CLASS 1463 tournament=249494471 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=500:1,5919:1,5985:1,18181:1,21666:1,28820:1,30017:1,30465:1
CLASS 1463 tournament=249494471 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=120:1,891:1,8854:1,9539:1,12306:1,17676:1,17714:1,25698:1,30466:1,36309:1,38736:1
